RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3227176457,1,1,6000,6000,600,600,5999,2495,463,12,3029,0,2.63333
3227176457,1,1,2000,6000,600,600,5999,4542,1416,41,0,0,2.7
3227176457,1,1,3000,6000,600,600,5999,4542,1416,41,0,0,2.76667
3227176457,1,1,4000,6000,600,600,5999,4542,1416,41,0,0,2.66667
3227176457,1,1,8000,6000,600,600,5999,1510,157,5,4327,0,2.8
3227176457,1,1,10000,6000,600,600,6000,992,66,3,4939,0,2.66667
3227176457,1,2,6000,6000,600,600,5996,3157,1323,1516,0,0,2.88333
3227176457,1,2,2000,6000,600,600,5996,3158,1322,1516,0,0,2.65
3227176457,1,2,3000,6000,600,600,5996,3158,1322,1516,0,0,2.88333
3227176457,1,2,4000,6000,600,600,5996,3157,1323,1516,0,0,2.86667
3227176457,1,2,8000,6000,600,600,5996,3157,1323,1516,0,0,4.11667
3227176457,1,2,10000,6000,600,600,5999,1352,89,4,4554,0,3.31667
3227176457,1,3,6000,6000,600,600,5998,3715,638,356,1289,0,2.65
3227176457,1,3,2000,6000,600,600,5998,4742,840,416,0,0,42.9667
3227176457,1,3,3000,6000,600,600,5998,4742,840,416,0,0,2.83333
3227176457,1,3,4000,6000,600,600,5998,4742,840,416,0,0,2.65
3227176457,1,3,8000,6000,600,600,5998,1874,307,166,3651,0,2.75
3227176457,1,3,10000,6000,600,600,6000,994,64,3,4939,0,2.88333
3227176457,1,4,6000,6000,600,600,5997,3501,1279,1217,0,0,2.78333
3227176457,1,4,2000,6000,600,600,5999,4542,1416,41,0,0,2.76667
3227176457,1,4,3000,6000,600,600,5999,4634,1320,45,0,0,2.73333
3227176457,1,4,4000,6000,600,600,5999,4857,1001,141,0,0,2.81667
3227176457,1,4,8000,6000,600,600,5995,1506,1829,2660,0,0,2.63333
3227176457,1,4,10000,6000,600,600,5996,1057,1824,2511,604,0,2.85
3227176457,1,5,6000,6000,600,600,5996,2951,1224,1513,308,0,2.73333
3227176457,1,5,2000,6000,600,600,5998,4742,840,416,0,0,2.66667
3227176457,1,5,3000,6000,600,600,5998,4768,809,421,0,0,2.55
3227176457,1,5,4000,6000,600,600,5998,4654,827,517,0,0,2.83333
3227176457,1,5,8000,6000,600,600,5994,1047,1709,2650,588,0,2.68333
3227176457,1,5,10000,6000,600,600,5995,560,1727,2583,1125,0,2.65
3227176457,1,6,6000,6000,600,600,5997,2787,1064,1376,770,0,2.61667
3227176457,1,6,2000,6000,600,600,5997,3404,1158,1435,0,0,2.7
3227176457,1,6,3000,6000,600,600,5997,3403,1159,1435,0,0,2.78333
3227176457,1,6,4000,6000,600,600,5997,3403,1159,1435,0,0,2.81667
3227176457,1,6,8000,6000,600,600,5997,2106,896,1188,1807,0,2.68333
3227176457,1,6,10000,6000,600,600,5998,1646,615,771,2966,0,2.65
3227176457,1,7,6000,6000,600,600,5995,2772,1107,1452,664,0,2.73333
3227176457,1,7,2000,6000,600,600,5995,3283,1207,1505,0,0,2.78333
3227176457,1,7,3000,6000,600,600,5995,3283,1207,1505,0,0,2.56667
3227176457,1,7,4000,6000,600,600,5995,3283,1207,1505,0,0,2.8
3227176457,1,7,8000,6000,600,600,5995,2091,923,1264,1717,0,2.66667
3227176457,1,7,10000,6000,600,600,5996,1587,680,832,2897,0,2.63333
3227176457,1,8,6000,6000,600,600,5995,2772,1107,1452,664,0,2.5
3227176457,1,8,2000,6000,600,600,5995,3283,1207,1505,0,0,2.58333
3227176457,1,8,3000,6000,600,600,5995,3283,1207,1505,0,0,2.58333
3227176457,1,8,4000,6000,600,600,5995,3283,1207,1505,0,0,2.65
3227176457,1,8,8000,6000,600,600,5995,2091,923,1264,1717,0,2.63333
3227176457,1,8,10000,6000,600,600,5996,1587,680,832,2897,0,2.71667
3227176457,1,9,6000,6000,600,600,5995,2772,1107,1452,664,0,2.53333
3227176457,1,9,2000,6000,600,600,5995,3283,1207,1505,0,0,2.71667
3227176457,1,9,3000,6000,600,600,5995,3283,1207,1505,0,0,2.83333
3227176457,1,9,4000,6000,600,600,5995,3283,1207,1505,0,0,2.68333
3227176457,1,9,8000,6000,600,600,5995,2091,923,1264,1717,0,2.65
3227176457,1,9,10000,6000,600,600,5996,1587,680,832,2897,0,2.66667
1682423572,1,1,6000,6000,600,600,5999,2518,463,16,3002,0,2.56667
1682423572,1,1,2000,6000,600,600,5999,4529,1424,46,0,0,2.58333
1682423572,1,1,3000,6000,600,600,5999,4529,1424,46,0,0,2.76667
1682423572,1,1,4000,6000,600,600,5999,4529,1424,46,0,0,2.65
1682423572,1,1,8000,6000,600,600,6000,1539,169,1,4291,0,2.61667
1682423572,1,1,10000,6000,600,600,6000,990,71,1,4938,0,2.63333
1682423572,1,2,6000,6000,600,600,5995,3217,1269,1509,0,0,2.81667
1682423572,1,2,2000,6000,600,600,5995,3217,1269,1509,0,0,2.73333
1682423572,1,2,3000,6000,600,600,5995,3217,1269,1509,0,0,2.83333
1682423572,1,2,4000,6000,600,600,5995,3217,1269,1509,0,0,2.6
1682423572,1,2,8000,6000,600,600,5995,3217,1269,1509,0,0,2.73333
1682423572,1,2,10000,6000,600,600,6000,1389,102,3,4506,0,2.61667
1682423572,1,3,6000,6000,600,600,5998,3765,597,278,1358,0,2.76667
1682423572,1,3,2000,6000,600,600,5998,4861,789,348,0,0,2.71667
1682423572,1,3,3000,6000,600,600,5998,4861,789,348,0,0,2.51667
1682423572,1,3,4000,6000,600,600,5998,4861,789,348,0,0,2.6
1682423572,1,3,8000,6000,600,600,5999,1913,306,133,3647,0,2.73333
1682423572,1,3,10000,6000,600,600,6000,990,71,1,4938,0,2.46667
1682423572,1,4,6000,6000,600,600,5995,3560,1231,1204,0,0,2.73333
1682423572,1,4,2000,6000,600,600,5999,4529,1424,46,0,0,2.8
1682423572,1,4,3000,6000,600,600,5999,4661,1284,54,0,0,2.61667
1682423572,1,4,4000,6000,600,600,5999,4887,976,136,0,0,2.68333
1682423572,1,4,8000,6000,600,600,5993,1533,1832,2628,0,0,2.78333
1682423572,1,4,10000,6000,600,600,5994,1072,1813,2475,634,0,2.76667
1682423572,1,5,6000,6000,600,600,5995,2985,1198,1482,330,0,2.63333
1682423572,1,5,2000,6000,600,600,5998,4861,789,348,0,0,2.78333
1682423572,1,5,3000,6000,600,600,5998,4870,774,354,0,0,2.75
1682423572,1,5,4000,6000,600,600,5997,4715,802,480,0,0,2.73333
1682423572,1,5,8000,6000,600,600,5994,1067,1723,2614,590,0,2.61667
1682423572,1,5,10000,6000,600,600,5995,564,1716,2555,1160,0,2.63333
1682423572,1,6,6000,6000,600,600,5997,2795,1079,1421,702,0,2.83333
1682423572,1,6,2000,6000,600,600,5997,3330,1187,1480,0,0,2.68333
1682423572,1,6,3000,6000,600,600,5997,3330,1187,1480,0,0,2.68333
1682423572,1,6,4000,6000,600,600,5997,3330,1187,1480,0,0,2.68333
1682423572,1,6,8000,6000,600,600,5998,2104,916,1245,1733,0,2.81667
1682423572,1,6,10000,6000,600,600,6000,1617,654,808,2921,0,2.66667
1682423572,1,7,6000,6000,600,600,5997,2809,1085,1408,695,0,2.8
1682423572,1,7,2000,6000,600,600,5997,3355,1178,1464,0,0,2.7
1682423572,1,7,3000,6000,600,600,5997,3356,1177,1464,0,0,2.68333
1682423572,1,7,4000,6000,600,600,5997,3355,1178,1464,0,0,2.6
1682423572,1,7,8000,6000,600,600,5997,2100,907,1216,1774,0,2.66667
1682423572,1,7,10000,6000,600,600,5998,1625,631,802,2940,0,2.6
1682423572,1,8,6000,6000,600,600,5997,2809,1085,1408,695,0,2.56667
1682423572,1,8,2000,6000,600,600,5997,3355,1178,1464,0,0,2.75
1682423572,1,8,3000,6000,600,600,5997,3356,1177,1464,0,0,2.63333
1682423572,1,8,4000,6000,600,600,5997,3355,1178,1464,0,0,2.51667
1682423572,1,8,8000,6000,600,600,5997,2100,907,1216,1774,0,2.55
1682423572,1,8,10000,6000,600,600,5998,1625,631,802,2940,0,2.71667
1682423572,1,9,6000,6000,600,600,5997,2809,1085,1408,695,0,2.73333
1682423572,1,9,2000,6000,600,600,5997,3355,1178,1464,0,0,2.65
1682423572,1,9,3000,6000,600,600,5997,3356,1177,1464,0,0,2.63333
1682423572,1,9,4000,6000,600,600,5997,3355,1178,1464,0,0,2.58333
1682423572,1,9,8000,6000,600,600,5997,2100,907,1216,1774,0,2.56667
1682423572,1,9,10000,6000,600,600,5998,1625,631,802,2940,0,2.71667
90524158,1,1,6000,6000,600,600,5999,2487,440,6,3066,0,2.58333
90524158,1,1,2000,6000,600,600,5998,4559,1405,34,0,0,2.76667
90524158,1,1,3000,6000,600,600,5998,4559,1405,34,0,0,2.68333
90524158,1,1,4000,6000,600,600,5998,4559,1405,34,0,0,2.68333
90524158,1,1,8000,6000,600,600,5999,1500,153,0,4346,0,2.63333
90524158,1,1,10000,6000,600,600,5999,981,72,0,4946,0,2.78333
90524158,1,2,6000,6000,600,600,5997,3206,1293,1498,0,0,2.88333
90524158,1,2,2000,6000,600,600,5997,3206,1293,1498,0,0,2.53333
