RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,6,3,36000,34840,1095,65,0,0,9998.93
2314927680,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,6,3,
2314927680,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,23257,703,40,0,0,9999.28
2314927680,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,24000,23330,630,40,0,0,9999.27
2314927680,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,24000,23293,662,45,0,0,9999.19
2314927680,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,24000,22982,943,75,0,0,9999.04
2314927680,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23999,22465,1395,92,47,0,9998.87
2314927680,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23997,19204,2504,421,1868,0,9997.91
861648815,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,23153,807,40,0,0,9999.28
861648815,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23999,23170,787,42,0,0,9999.26
861648815,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23999,23119,819,61,0,0,9999.17
861648815,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23998,22800,1103,95,0,0,9999.02
861648815,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23998,22170,1616,140,72,0,9998.85
861648815,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23997,18758,2770,551,1918,0,9997.84
716359404,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,23998,23213,740,45,0,0,9999.28
716359404,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,23998,23216,735,47,0,0,9999.27
716359404,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,23998,23168,771,59,0,0,9999.19
716359404,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,23997,22975,927,95,0,0,9999.04
716359404,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,23997,22009,1824,140,24,0,9998.87
716359404,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,23996,18994,2718,539,1745,0,9997.88
518024951,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,23107,839,54,0,0,9999.28
518024951,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,24000,23268,672,60,0,0,9999.27
518024951,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,24000,23234,687,79,0,0,9999.18
518024951,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,24000,23015,881,104,0,0,9999.03
518024951,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,4,3,24000,22089,1653,140,118,0,9998.85
518024951,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,4,3,24000,19474,2492,542,1492,0,9997.88
652227427,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,4,3,24000,23294,654,52,0,0,9999.28
652227427,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,4,3,24000,23310,635,55,0,0,9999.27
652227427,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,4,3,24000,23234,694,72,0,0,9999.18
652227427,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,4,3,24000,22958,945,97,0,0,9999.02
