seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.930006,0.958320,0.936696,0.808212,0.801900,0.743309,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.5,0.0236721
861648815,3000,0.908263,0.927386,0.936465,0.774842,0.799094,0.741973,8.000000,13.000000,41.000000,15.000000,10.000000,9.000000,9995.21,0.025193
861648815,4000,0.727570,0.699317,0.697836,0.702086,0.801160,0.736644,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.68,0.0332523
861648815,5000,0.609767,0.611681,0.612574,0.630299,0.788371,0.729361,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.68,0.0332508
861648815,6000,0.553392,0.557817,0.553296,0.569615,0.561480,0.679464,8.000000,11.000000,9.000000,16.000000,12.000000,40.000000,9993.15,0.0360548
861648815,8000,0.491075,0.516275,0.494488,0.474572,0.394844,0.394145,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.5,0.023671
716359404,2000,0.931843,0.956689,0.933923,0.810230,0.808424,0.742044,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.53,0.0235254
716359404,3000,0.919286,0.939725,0.933927,0.781052,0.805369,0.741028,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.53,0.0235258
716359404,4000,0.744334,0.705384,0.697522,0.709442,0.802161,0.735385,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.71,0.0331098
716359404,5000,0.616727,0.613975,0.612911,0.638790,0.797837,0.729055,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.71,0.0331106
716359404,6000,0.556039,0.558747,0.552760,0.577489,0.597832,0.703689,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.18,0.0359056
716359404,8000,0.497164,0.515706,0.494316,0.482114,0.397908,0.394770,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.53,0.0235266
518024951,2000,0.931070,0.957408,0.935278,0.804274,0.801494,0.745019,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.023606
518024951,3000,0.916950,0.938102,0.935291,0.774266,0.798632,0.744112,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.0236061
518024951,4000,0.736568,0.700077,0.703071,0.702990,0.800712,0.738837,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0331883
518024951,5000,0.614443,0.615032,0.612293,0.634092,0.799039,0.732295,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0331893
518024951,6000,0.558119,0.561621,0.554405,0.572265,0.586743,0.707086,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.16,0.0359863
518024951,8000,0.496138,0.518662,0.494349,0.481335,0.400118,0.403463,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.0236056
652227427,2000,0.932523,0.958816,0.938023,0.807257,0.806061,0.740816,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.0236153
652227427,3000,0.919405,0.937479,0.937630,0.777051,0.803295,0.739816,8.000000,14.000000,40.000000,15.000000,10.000000,9.000000,9995.23,0.0250889
652227427,4000,0.742749,0.703496,0.704081,0.703215,0.803907,0.734528,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0331984
652227427,5000,0.619059,0.615320,0.618482,0.635453,0.800101,0.727504,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0332017
652227427,6000,0.557530,0.558411,0.556704,0.574525,0.582967,0.700294,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.16,0.0359933
652227427,8000,0.499093,0.517888,0.499030,0.481057,0.400317,0.397492,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.0236142
