seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.911685,0.951607,0.918879,0.746958,0.744566,0.675017,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197213
861648815,3000,0.911678,0.951627,0.918912,0.746934,0.744519,0.674947,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197204
861648815,4000,0.911542,0.951625,0.918914,0.746903,0.744523,0.674873,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197226
861648815,5000,0.911686,0.951024,0.913769,0.740486,0.744518,0.674867,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197214
861648815,6000,0.890070,0.918494,0.897051,0.725590,0.744525,0.674891,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197216
861648815,8000,0.798383,0.809371,0.789398,0.690566,0.744472,0.674891,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197226
716359404,2000,0.911951,0.950297,0.917895,0.752354,0.747269,0.672050,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196219
716359404,3000,0.911924,0.950297,0.917920,0.752350,0.747241,0.671983,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196226
716359404,4000,0.911887,0.950311,0.917892,0.752258,0.747231,0.671979,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196244
716359404,5000,0.911938,0.949662,0.912588,0.745194,0.747134,0.672009,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196252
716359404,6000,0.895439,0.921011,0.899423,0.731276,0.747094,0.671969,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196256
716359404,8000,0.807314,0.814306,0.793367,0.696198,0.747141,0.671969,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.27,0.0196255
518024951,2000,0.911136,0.950585,0.917279,0.748141,0.744333,0.673950,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196713
518024951,3000,0.911140,0.950607,0.917284,0.748121,0.744296,0.673861,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196712
518024951,4000,0.911128,0.950615,0.917242,0.748138,0.744198,0.673750,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196734
518024951,5000,0.911161,0.949883,0.912384,0.740776,0.744213,0.673702,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196753
518024951,6000,0.894068,0.919721,0.898358,0.725552,0.744177,0.673701,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196763
518024951,8000,0.803443,0.813202,0.792611,0.692751,0.744163,0.673675,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196735
652227427,2000,0.911350,0.950333,0.918148,0.748060,0.746024,0.673376,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196854
652227427,3000,0.911361,0.950343,0.918141,0.748014,0.745944,0.673354,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.019686
652227427,4000,0.911343,0.950350,0.918150,0.747951,0.745827,0.673186,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196901
652227427,5000,0.911359,0.949749,0.912361,0.741266,0.745878,0.673124,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196893
652227427,6000,0.890909,0.918421,0.898472,0.726927,0.745935,0.673314,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196865
652227427,8000,0.801500,0.810827,0.791666,0.691666,0.745935,0.673300,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.26,0.0196862
