packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
100,1,2000,200,600,3.3,10000,2400,2329,71,0,0,0,9999.57
100,1,4000,200,600,3.3,10000,2400,2329,71,0,0,0,9999.57
100,1,5000,200,600,3.3,10000,1668,1637,31,0,0,0,9999.69
100,1,6000,200,600,3.3,10000,1212,1202,10,0,0,0,9999.76
100,1,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.85
100,1,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.89
100,1,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.9
100,1,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.93
100,2,2000,200,600,3.3,10000,2400,1472,869,59,0,0,9991.86
100,2,4000,200,600,3.3,10000,2400,1472,869,59,0,0,9991.86
100,2,5000,200,600,3.3,10000,1668,1205,441,22,0,0,9994.33
100,2,6000,200,600,3.3,10000,1212,969,241,2,0,0,9995.87
100,2,8000,200,600,3.3,10000,708,627,81,0,0,0,9997.57
100,2,10000,200,600,3.3,10000,468,412,56,0,0,0,9998.38
100,2,12000,200,600,3.3,10000,372,331,41,0,0,0,9998.71
100,2,15000,200,600,3.3,10000,228,213,15,0,0,0,9999.19
100,3,2000,200,600,3.3,10000,2400,2308,90,2,0,0,9997.11
100,3,4000,200,600,3.3,10000,2400,2308,90,2,0,0,9997.11
100,3,5000,200,600,3.3,10000,1668,1654,14,0,0,0,9999.06
100,3,6000,200,600,3.3,10000,1212,1212,0,0,0,0,9999.55
100,3,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.81
100,3,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.88
100,3,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.9
100,3,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.93
100,6,2000,200,600,3.3,10000,2400,2329,71,0,0,0,9999.57
100,6,4000,200,600,3.3,10000,2400,2355,45,0,0,0,9999.29
100,6,5000,200,600,3.3,10000,1668,1653,15,0,0,0,9999.47
100,6,6000,200,600,3.3,10000,1212,1212,0,0,0,0,9999.59
100,6,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.76
100,6,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.84
100,6,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.85
100,6,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.9
100,7,2000,200,600,3.3,10000,2400,2376,24,0,0,0,9998.79
100,7,4000,200,600,3.3,10000,2400,2359,41,0,0,0,9998.6
100,7,5000,200,600,3.3,10000,1668,1632,36,0,0,0,9999.14
100,7,6000,200,600,3.3,10000,1212,1191,21,0,0,0,9998.63
100,7,8000,200,600,3.3,10000,708,694,14,0,0,0,9998.68
100,7,10000,200,600,3.3,10000,468,446,22,0,0,0,9998.84
100,7,12000,200,600,3.3,10000,372,350,22,0,0,0,9998.98
100,7,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.28
100,8,2000,200,600,3.3,10000,2400,1956,417,27,0,0,9994.02
100,8,4000,200,600,3.3,10000,2400,1956,417,27,0,0,9994
100,8,5000,200,600,3.3,10000,1668,1518,141,9,0,0,9996.41
100,8,6000,200,600,3.3,10000,1212,1164,48,0,0,0,9997.66
100,8,8000,200,600,3.3,10000,708,694,14,0,0,0,9998.5
100,8,10000,200,600,3.3,10000,468,446,22,0,0,0,9998.83
100,8,12000,200,600,3.3,10000,372,350,22,0,0,0,9998.98
100,8,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.28
100,10,2000,200,600,3.3,10000,2400,2219,171,10,0,0,9996.4
100,10,4000,200,600,3.3,10000,2400,2216,174,10,0,0,9996.38
100,10,5000,200,600,3.3,10000,1668,1613,51,4,0,0,9997.99
100,10,6000,200,600,3.3,10000,1212,1197,15,0,0,0,9998.24
100,10,8000,200,600,3.3,10000,708,694,14,0,0,0,9998.61
100,10,10000,200,600,3.3,10000,468,446,22,0,0,0,9998.83
100,10,12000,200,600,3.3,10000,372,350,22,0,0,0,9998.98
100,10,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.28
100,12,2000,200,600,3.3,10000,2400,2308,90,2,0,0,9997.14
100,12,4000,200,600,3.3,10000,2400,2304,94,2,0,0,9997.08
100,12,5000,200,600,3.3,10000,1668,1616,52,0,0,0,9998.8
100,12,6000,200,600,3.3,10000,1212,1189,23,0,0,0,9998.57
100,12,8000,200,600,3.3,10000,708,694,14,0,0,0,9998.67
100,12,10000,200,600,3.3,10000,468,446,22,0,0,0,9998.84
100,12,12000,200,600,3.3,10000,372,350,22,0,0,0,9998.98
100,12,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.28
100,13,2000,200,600,3.3,10000,2400,2329,71,0,0,0,9998.18
100,13,4000,200,600,3.3,10000,2400,2321,79,0,0,0,9998.11
100,13,5000,200,600,3.3,10000,1668,1634,34,0,0,0,9998.95
100,13,6000,200,600,3.3,10000,1212,1189,23,0,0,0,9998.59
