packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
40,1,2000,200,600,3.3,10000,2400,2363,37,0,0,0,9999.75
40,1,4000,200,600,3.3,10000,2400,2363,37,0,0,0,9999.75
40,1,5000,200,600,3.3,10000,2400,1645,23,0,732,0,9999.75
40,1,6000,200,600,3.3,10000,2400,1210,2,0,1188,0,9999.75
40,1,8000,200,600,3.3,10000,2400,708,0,0,1692,0,9999.75
40,1,10000,200,600,3.3,10000,2400,468,0,0,1932,0,9999.75
40,1,12000,200,600,3.3,10000,2400,372,0,0,2028,0,9999.75
40,1,15000,200,600,3.3,10000,2400,228,0,0,2172,0,9999.75
40,2,2000,200,600,3.3,10000,2400,1803,582,15,0,0,9995.37
40,2,4000,200,600,3.3,10000,2400,1803,582,15,0,0,9995.37
40,2,5000,200,600,3.3,10000,2400,1803,582,15,0,0,9995.37
40,2,6000,200,600,3.3,10000,2400,1803,582,15,0,0,9995.37
40,2,8000,200,600,3.3,10000,2400,1803,582,15,0,0,9995.37
40,2,10000,200,600,3.3,10000,2400,1559,401,8,432,0,9995.37
40,2,12000,200,600,3.3,10000,2400,1187,205,2,1006,0,9995.37
40,2,15000,200,600,3.3,10000,2400,852,96,1,1451,0,9995.37
40,3,2000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.38
40,3,4000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.38
40,3,5000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.38
40,3,6000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.38
40,3,8000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.38
40,3,10000,200,600,3.3,10000,2400,612,0,0,1788,0,9998.38
40,3,12000,200,600,3.3,10000,2400,420,0,0,1980,0,9998.38
40,3,15000,200,600,3.3,10000,2400,228,0,0,2172,0,9998.38
40,6,2000,200,600,3.3,10000,2400,2363,37,0,0,0,9999.75
40,6,4000,200,600,3.3,10000,2400,2363,37,0,0,0,9999.6
40,6,5000,200,600,3.3,10000,2400,2372,28,0,0,0,9999.32
40,6,6000,200,600,3.3,10000,2400,2350,50,0,0,0,9998.54
40,6,8000,200,600,3.3,10000,2400,2225,171,4,0,0,9997.29
40,6,10000,200,600,3.3,10000,2400,1787,176,5,432,0,9996.6
40,6,12000,200,600,3.3,10000,2400,1283,109,0,1008,0,9996.25
40,6,15000,200,600,3.3,10000,2400,898,50,0,1452,0,9996
40,7,2000,200,600,3.3,10000,2400,2384,16,0,0,0,9999.32
40,7,4000,200,600,3.3,10000,2400,2370,30,0,0,0,9999.21
40,7,5000,200,600,3.3,10000,2400,2369,31,0,0,0,9998.98
40,7,6000,200,600,3.3,10000,2400,2194,61,1,144,0,9998.28
40,7,8000,200,600,3.3,10000,2400,1781,145,6,468,0,9997.15
40,7,10000,200,600,3.3,10000,2400,1482,159,5,754,0,9996.49
40,7,12000,200,600,3.3,10000,2400,1139,109,0,1152,0,9996.16
40,7,15000,200,600,3.3,10000,2400,774,54,0,1572,0,9995.91
40,8,2000,200,600,3.3,10000,2400,2141,250,9,0,0,9996.62
40,8,4000,200,600,3.3,10000,2400,2141,250,9,0,0,9996.61
40,8,5000,200,600,3.3,10000,2400,2138,253,9,0,0,9996.58
40,8,6000,200,600,3.3,10000,2400,2123,267,10,0,0,9996.41
40,8,8000,200,600,3.3,10000,2400,2016,373,11,0,0,9996.04
40,8,10000,200,600,3.3,10000,2400,1665,296,7,432,0,9995.81
40,8,12000,200,600,3.3,10000,2400,1239,153,1,1007,0,9995.69
40,8,15000,200,600,3.3,10000,2400,814,62,0,1524,0,9995.57
40,10,2000,200,600,3.3,10000,2400,2315,82,3,0,0,9998.01
40,10,4000,200,600,3.3,10000,2400,2315,82,3,0,0,9998
40,10,5000,200,600,3.3,10000,2400,2315,82,3,0,0,9997.96
40,10,6000,200,600,3.3,10000,2400,2259,137,4,0,0,9997.55
40,10,8000,200,600,3.3,10000,2400,2181,211,8,0,0,9996.72
40,10,10000,200,600,3.3,10000,2400,1643,164,5,588,0,9996.25
40,10,12000,200,600,3.3,10000,2400,1199,109,0,1092,0,9995.98
40,10,15000,200,600,3.3,10000,2400,774,54,0,1572,0,9995.78
40,12,2000,200,600,3.3,10000,2400,2326,74,0,0,0,9998.4
40,12,4000,200,600,3.3,10000,2400,2322,78,0,0,0,9998.37
40,12,5000,200,600,3.3,10000,2400,2310,90,0,0,0,9998.25
40,12,6000,200,600,3.3,10000,2400,2274,123,3,0,0,9997.73
40,12,8000,200,600,3.3,10000,2400,2160,230,10,0,0,9996.82
40,12,10000,200,600,3.3,10000,2400,1494,159,5,742,0,9996.31
40,12,12000,200,600,3.3,10000,2400,1151,109,0,1140,0,9996.02
40,12,15000,200,600,3.3,10000,2400,770,58,0,1572,0,9995.79
40,13,2000,200,600,3.3,10000,2400,2368,32,0,0,0,9999
40,13,4000,200,600,3.3,10000,2400,2364,36,0,0,0,9998.96
40,13,5000,200,600,3.3,10000,2400,2354,46,0,0,0,9998.83
40,13,6000,200,600,3.3,10000,2400,2316,83,1,0,0,9998.18
40,13,8000,200,600,3.3,10000,2400,1980,139,5,276,0,9997.1
