seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.921044,0.943386,0.933593,0.796514,0.803829,0.753857,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0215992
861648815,3000,0.860893,0.862872,0.857381,0.751671,0.799716,0.752831,14.000000,52.000000,13.000000,17.000000,10.000000,14.000000,9994.81,0.0218422
861648815,4000,0.738850,0.736383,0.728224,0.696872,0.737431,0.715094,20.000000,15.000000,11.000000,17.000000,43.000000,14.000000,9993.16,0.0287926
861648815,5000,0.670750,0.683134,0.668317,0.635442,0.696025,0.647453,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9992.69,0.0307826
861648815,6000,0.624405,0.631471,0.631691,0.588097,0.597423,0.627014,10.000000,28.000000,15.000000,17.000000,10.000000,40.000000,9993.14,0.0288551
861648815,8000,0.538521,0.552475,0.536656,0.513886,0.492004,0.474630,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.86,0.021645
716359404,2000,0.924595,0.945953,0.935203,0.801948,0.810220,0.753310,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214433
716359404,3000,0.860865,0.865680,0.858505,0.761750,0.804840,0.750446,16.000000,51.000000,12.000000,17.000000,10.000000,14.000000,9994.83,0.021752
716359404,4000,0.739105,0.740509,0.721134,0.699377,0.740423,0.716810,19.000000,14.000000,11.000000,17.000000,45.000000,14.000000,9993.11,0.0289962
716359404,5000,0.675102,0.685765,0.669381,0.643718,0.700202,0.645316,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9992.73,0.0305853
716359404,6000,0.625553,0.629318,0.630027,0.594898,0.626958,0.630046,10.000000,20.000000,11.000000,17.000000,13.000000,49.000000,9992.5,0.0315675
716359404,8000,0.541914,0.547288,0.534633,0.516978,0.495345,0.468812,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214141
518024951,2000,0.922157,0.944051,0.936307,0.794804,0.803477,0.757913,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215375
518024951,3000,0.864868,0.864879,0.864881,0.752186,0.798950,0.754653,14.000000,53.000000,12.000000,17.000000,10.000000,14.000000,9994.83,0.0217655
518024951,4000,0.738770,0.736467,0.727251,0.693988,0.739492,0.721508,22.000000,14.000000,11.000000,17.000000,42.000000,14.000000,9993.21,0.0285928
518024951,5000,0.672613,0.685606,0.669281,0.639399,0.700138,0.652096,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9992.71,0.0306799
518024951,6000,0.627316,0.631994,0.631855,0.589181,0.612450,0.631357,10.000000,24.000000,13.000000,17.000000,10.000000,46.000000,9992.81,0.0302507
518024951,8000,0.542787,0.552253,0.536654,0.518952,0.496056,0.477807,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0215751
652227427,2000,0.924453,0.946235,0.939110,0.800013,0.807023,0.751598,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0215986
652227427,3000,0.863535,0.868450,0.869133,0.759537,0.804144,0.750180,14.000000,53.000000,12.000000,17.000000,10.000000,14.000000,9994.82,0.0217865
652227427,4000,0.739892,0.738008,0.726254,0.698259,0.740295,0.714344,19.000000,15.000000,11.000000,17.000000,44.000000,14.000000,9993.12,0.0289371
652227427,5000,0.672624,0.684625,0.670265,0.641914,0.702345,0.644263,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9992.71,0.0306718
652227427,6000,0.622814,0.631408,0.630936,0.591808,0.608766,0.629761,10.000000,24.000000,15.000000,17.000000,10.000000,44.000000,9992.92,0.029792
652227427,8000,0.544943,0.549782,0.536791,0.515601,0.496380,0.468624,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0215704
