RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
861648815,1,23,3.78,41,79,0,1,2000,1000,600,3.3,10000,6,3,17999,17358,608,33,0,0,35999,26568,955,57,8419,0,9998.93
861648815,1,23,3.78,41,79,0,1,3000,1000,600,3.3,10000,6,3,17999,17378,585,36,0,0,36000,20372,634,36,14958,0,9998.9
861648815,1,23,3.78,41,79,0,1,4000,1000,600,3.3,10000,6,3,17999,17376,578,45,0,0,36000,19702,593,45,15660,0,9998.76
861648815,1,23,3.78,41,79,0,1,5000,1000,600,3.3,10000,6,3,17999,17268,667,64,0,0,36000,19231,667,68,16034,0,9998.53
861648815,1,23,3.78,41,79,0,1,6000,1000,600,3.3,10000,6,3,17999,16791,1049,105,54,0,36000,18520,1067,109,16304,0,9998.27
861648815,1,23,3.78,41,79,0,1,8000,1000,600,3.3,10000,6,3,17999,14025,2116,413,1445,0,36000,15595,2149,419,17837,0,9996.76
861648815,1,23,3.78,41,79,0,2,2000,1000,600,3.3,10000,6,3,17999,17278,690,31,0,0,35999,26488,1037,55,8419,0,9998.94
861648815,1,23,3.78,41,79,0,2,3000,1000,600,3.3,10000,6,3,17999,17278,690,31,0,0,36000,19980,725,31,15264,0,9998.94
861648815,1,23,3.78,41,79,0,2,4000,1000,600,3.3,10000,6,3,17999,17278,690,31,0,0,36000,18951,692,31,16326,0,9998.94
861648815,1,23,3.78,41,79,0,2,5000,1000,600,3.3,10000,6,3,17999,17278,690,31,0,0,36000,18377,690,31,16902,0,9998.94
861648815,1,23,3.78,41,79,0,2,6000,1000,600,3.3,10000,6,3,17999,16172,628,31,1168,0,36000,16983,628,31,18358,0,9998.94
861648815,1,23,3.78,41,79,0,2,8000,1000,600,3.3,10000,6,3,17999,9317,356,19,8307,0,36000,9858,356,19,25767,0,9998.94
861648815,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,6,3,17999,17290,693,16,0,0,35999,24838,918,20,10223,0,9999.26
861648815,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,6,3,17999,17290,693,16,0,0,36000,19992,728,16,15264,0,9999.26
861648815,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,6,3,17999,17290,693,16,0,0,36000,18963,695,16,16326,0,9999.26
861648815,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,6,3,17999,17290,693,16,0,0,36000,18389,693,16,16902,0,9999.26
861648815,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,6,3,17999,15336,581,14,2068,0,36000,16147,581,14,19258,0,9999.26
861648815,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,6,3,17999,7437,246,6,10310,0,36000,7978,246,6,27770,0,9999.26
861648815,1,23,3.78,41,79,0,4,2000,1000,600,3.3,10000,6,3,17999,17409,560,30,0,0,35999,25816,817,48,9318,0,9998.99
861648815,1,23,3.78,41,79,0,4,3000,1000,600,3.3,10000,6,3,17999,17409,560,30,0,0,36000,20111,595,30,15264,0,9998.99
861648815,1,23,3.78,41,79,0,4,4000,1000,600,3.3,10000,6,3,17999,17409,560,30,0,0,36000,19082,562,30,16326,0,9998.99
861648815,1,23,3.78,41,79,0,4,5000,1000,600,3.3,10000,6,3,17999,17409,560,30,0,0,36000,18508,560,30,16902,0,9998.99
861648815,1,23,3.78,41,79,0,4,6000,1000,600,3.3,10000,6,3,17999,17152,547,30,270,0,36000,17963,547,30,17460,0,9998.99
861648815,1,23,3.78,41,79,0,4,8000,1000,600,3.3,10000,6,3,17999,8314,264,13,9408,0,36000,8855,264,13,26868,0,9998.99
861648815,1,23,3.78,41,79,0,5,2000,1000,600,3.3,10000,6,3,18000,16971,1022,7,0,0,36000,22778,1190,8,12024,0,9999.61
861648815,1,23,3.78,41,79,0,5,3000,1000,600,3.3,10000,6,3,18000,17206,786,8,0,0,36000,19907,821,8,15264,0,9999.56
861648815,1,23,3.78,41,79,0,5,4000,1000,600,3.3,10000,6,3,18000,17258,728,14,0,0,36000,18930,730,14,16326,0,9999.36
861648815,1,23,3.78,41,79,0,5,5000,1000,600,3.3,10000,6,3,18000,17078,892,30,0,0,36000,18176,892,30,16902,0,9999.06
861648815,1,23,3.78,41,79,0,5,6000,1000,600,3.3,10000,6,3,17999,16733,1206,60,0,0,36000,17544,1206,60,17190,0,9998.74
861648815,1,23,3.78,41,79,0,5,8000,1000,600,3.3,10000,6,3,17997,15528,2136,333,0,0,36000,16071,2136,333,17460,0,9997.06
861648815,1,23,3.78,41,79,0,6,2000,1000,600,3.3,10000,6,3,17996,12734,4574,688,0,0,35996,25418,9149,1429,0,0,9995.72
861648815,1,23,3.78,41,79,0,6,3000,1000,600,3.3,10000,6,3,17996,12735,4572,689,0,0,35997,24731,8483,1271,1512,0,9995.72
861648815,1,23,3.78,41,79,0,6,4000,1000,600,3.3,10000,6,3,17996,12685,4620,691,0,0,36000,17083,5113,719,13085,0,9995.7
861648815,1,23,3.78,41,79,0,6,5000,1000,600,3.3,10000,6,3,17996,12652,4637,707,0,0,36000,14859,4666,711,15764,0,9995.65
861648815,1,23,3.78,41,79,0,6,6000,1000,600,3.3,10000,6,3,17996,12611,4653,732,0,0,36000,14375,4675,736,16214,0,9995.57
