packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
200,1,2000,200,600,3.3,10000,2400,2289,111,0,0,0,9999.25
200,1,4000,200,600,3.3,10000,1836,1782,54,0,0,0,9999.42
200,1,5000,200,600,3.3,10000,1200,1177,23,0,0,0,9999.61
200,1,6000,200,600,3.3,10000,840,831,9,0,0,0,9999.71
200,1,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.82
200,1,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.85
200,1,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.89
200,1,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.92
200,2,2000,200,600,3.3,10000,2279,1040,1116,123,0,0,9986.91
200,2,4000,200,600,3.3,10000,1747,957,735,55,0,0,9989.95
200,2,5000,200,600,3.3,10000,1136,786,340,10,0,0,9993.46
200,2,6000,200,600,3.3,10000,793,616,174,3,0,0,9995.42
200,2,8000,200,600,3.3,10000,465,397,68,0,0,0,9997.3
200,2,10000,200,600,3.3,10000,350,303,47,0,0,0,9997.96
200,2,12000,200,600,3.3,10000,249,227,22,0,0,0,9998.54
200,2,15000,200,600,3.3,10000,145,133,12,0,0,0,9999.13
200,3,2000,200,600,3.3,10000,2376,2231,128,17,0,0,9995.17
200,3,4000,200,600,3.3,10000,1836,1810,23,3,0,0,9997.85
200,3,5000,200,600,3.3,10000,1200,1197,3,0,0,0,9999.26
200,3,6000,200,600,3.3,10000,840,837,3,0,0,0,9999.59
200,3,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.8
200,3,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.85
200,3,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.89
200,3,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.92
200,6,2000,200,600,3.3,10000,2400,2289,111,0,0,0,9999.25
200,6,4000,200,600,3.3,10000,1836,1799,37,0,0,0,9999.3
200,6,5000,200,600,3.3,10000,1200,1191,9,0,0,0,9999.53
200,6,6000,200,600,3.3,10000,840,837,3,0,0,0,9999.65
200,6,8000,200,600,3.3,10000,492,492,0,0,0,0,9999.8
200,6,10000,200,600,3.3,10000,372,372,0,0,0,0,9999.83
200,6,12000,200,600,3.3,10000,264,264,0,0,0,0,9999.87
200,6,15000,200,600,3.3,10000,156,156,0,0,0,0,9999.91
200,7,2000,200,600,3.3,10000,2392,2344,44,4,0,0,9997.96
200,7,4000,200,600,3.3,10000,1836,1775,61,0,0,0,9999
200,7,5000,200,600,3.3,10000,1200,1176,24,0,0,0,9998.91
200,7,6000,200,600,3.3,10000,836,830,5,1,0,0,9998.6
200,7,8000,200,600,3.3,10000,483,472,10,1,0,0,9998.41
200,7,10000,200,600,3.3,10000,360,338,22,0,0,0,9998.52
200,7,12000,200,600,3.3,10000,255,243,12,0,0,0,9998.85
200,7,15000,200,600,3.3,10000,148,146,2,0,0,0,9999.26
200,8,2000,200,600,3.3,10000,2332,1641,613,78,0,0,9990.21
200,8,4000,200,600,3.3,10000,1800,1480,298,22,0,0,9993.22
200,8,5000,200,600,3.3,10000,1189,1115,72,2,0,0,9996.62
200,8,6000,200,600,3.3,10000,836,807,28,1,0,0,9997.87
200,8,8000,200,600,3.3,10000,483,472,10,1,0,0,9998.36
200,8,10000,200,600,3.3,10000,360,338,22,0,0,0,9998.52
200,8,12000,200,600,3.3,10000,255,243,12,0,0,0,9998.85
200,8,15000,200,600,3.3,10000,148,146,2,0,0,0,9999.26
200,10,2000,200,600,3.3,10000,2384,2065,284,35,0,0,9993.85
200,10,4000,200,600,3.3,10000,1836,1676,153,7,0,0,9996.1
200,10,5000,200,600,3.3,10000,1200,1160,40,0,0,0,9997.93
200,10,6000,200,600,3.3,10000,836,825,10,1,0,0,9998.29
200,10,8000,200,600,3.3,10000,483,472,10,1,0,0,9998.39
200,10,10000,200,600,3.3,10000,360,338,22,0,0,0,9998.52
200,10,12000,200,600,3.3,10000,255,243,12,0,0,0,9998.85
200,10,15000,200,600,3.3,10000,148,146,2,0,0,0,9999.26
200,12,2000,200,600,3.3,10000,2376,2227,132,17,0,0,9995.22
200,12,4000,200,600,3.3,10000,1836,1794,39,3,0,0,9997.76
200,12,5000,200,600,3.3,10000,1200,1181,19,0,0,0,9998.77
200,12,6000,200,600,3.3,10000,836,830,5,1,0,0,9998.56
200,12,8000,200,600,3.3,10000,483,472,10,1,0,0,9998.4
200,12,10000,200,600,3.3,10000,360,338,22,0,0,0,9998.52
200,12,12000,200,600,3.3,10000,255,243,12,0,0,0,9998.85
200,12,15000,200,600,3.3,10000,148,146,2,0,0,0,9999.26
200,13,2000,200,600,3.3,10000,2400,2295,101,4,0,0,9996.83
200,13,4000,200,600,3.3,10000,1836,1788,45,3,0,0,9998.32
200,13,5000,200,600,3.3,10000,1200,1181,19,0,0,0,9998.81
200,13,6000,200,600,3.3,10000,836,830,5,1,0,0,9998.58
200,13,8000,200,600,3.3,10000,483,472,10,1,0,0,9998.41
200,13,10000,200,600,3.3,10000,360,338,22,0,0,0,9998.52
200,13,12000,200,600,3.3,10000,255,243,12,0,0,0,9998.85
200,13,15000,200,600,3.3,10000,148,146,2,0,0,0,9999.26
200,1,2000,1000,600,3.3,10000,12000,9564,2378,58,0,0,9999.25
200,1,4000,1000,600,3.3,10000,9120,7606,1482,32,0,0,9999.42
200,1,5000,1000,600,3.3,10000,5928,5277,639,12,0,0,9999.61
200,1,6000,1000,600,3.3,10000,4104,3804,297,3,0,0,9999.72
200,1,8000,1000,600,3.3,10000,2244,2153,91,0,0,0,9999.83
200,1,10000,1000,600,3.3,10000,1440,1397,43,0,0,0,9999.88
200,1,12000,1000,600,3.3,10000,912,884,28,0,0,0,9999.91
200,1,15000,1000,600,3.3,10000,600,577,23,0,0,0,9999.93
200,2,2000,1000,600,3.3,10000,11375,523,5578,5274,0,0,9986.95
200,2,4000,1000,600,3.3,10000,8640,657,4765,3218,0,0,9990.07
200,2,5000,1000,600,3.3,10000,5596,897,3359,1340,0,0,9993.56
200,2,6000,1000,600,3.3,10000,3871,1002,2305,564,0,0,9995.53
200,2,8000,1000,600,3.3,10000,2121,962,1042,117,0,0,9997.53
200,2,10000,1000,600,3.3,10000,1362,828,511,23,0,0,9998.4
200,2,12000,1000,600,3.3,10000,865,636,224,5,0,0,9998.97
200,2,15000,1000,600,3.3,10000,567,463,104,0,0,0,9999.31
200,3,2000,1000,600,3.3,10000,11890,7860,2251,1779,0,0,9995.18
200,3,4000,1000,600,3.3,10000,9120,7574,1205,341,0,0,9997.89
200,3,5000,1000,600,3.3,10000,5928,5365,532,31,0,0,9999.27
200,3,6000,1000,600,3.3,10000,4104,3857,240,7,0,0,9999.62
200,3,8000,1000,600,3.3,10000,2244,2155,89,0,0,0,9999.82
200,3,10000,1000,600,3.3,10000,1440,1397,43,0,0,0,9999.88
200,3,12000,1000,600,3.3,10000,912,884,28,0,0,0,9999.91
200,3,15000,1000,600,3.3,10000,600,577,23,0,0,0,9999.93
200,6,2000,1000,600,3.3,10000,12000,9564,2378,58,0,0,9999.25
200,6,4000,1000,600,3.3,10000,9120,7990,1087,43,0,0,9999.3
200,6,5000,1000,600,3.3,10000,5928,5507,406,15,0,0,9999.53
200,6,6000,1000,600,3.3,10000,4104,3883,218,3,0,0,9999.66
200,6,8000,1000,600,3.3,10000,2244,2174,70,0,0,0,9999.8
200,6,10000,1000,600,3.3,10000,1440,1417,23,0,0,0,9999.85
200,6,12000,1000,600,3.3,10000,912,889,23,0,0,0,9999.9
200,6,15000,1000,600,3.3,10000,600,595,5,0,0,0,9999.92
200,7,2000,1000,600,3.3,10000,11969,10195,1337,437,0,0,9997.95
200,7,4000,1000,600,3.3,10000,9120,8111,920,89,0,0,9999.01
200,7,5000,1000,600,3.3,10000,5928,5334,538,56,0,0,9998.92
200,7,6000,1000,600,3.3,10000,4081,3711,288,82,0,0,9998.53
200,7,8000,1000,600,3.3,10000,2177,1747,375,55,0,0,9998.45
200,7,10000,1000,600,3.3,10000,1391,1176,204,11,0,0,9998.87
200,7,12000,1000,600,3.3,10000,880,780,100,0,0,0,9999.22
200,7,15000,1000,600,3.3,10000,574,503,71,0,0,0,9999.41
200,8,2000,1000,600,3.3,10000,11638,2842,4697,4099,0,0,9990.25
200,8,4000,1000,600,3.3,10000,8903,3523,3340,2040,0,0,9993.34
200,8,5000,1000,600,3.3,10000,5861,3987,1386,488,0,0,9996.71
200,8,6000,1000,600,3.3,10000,4081,3211,721,149,0,0,9997.88
200,8,8000,1000,600,3.3,10000,2177,1740,378,59,0,0,9998.41
200,8,10000,1000,600,3.3,10000,1391,1175,204,12,0,0,9998.86
200,8,12000,1000,600,3.3,10000,880,780,100,0,0,0,9999.22
200,8,15000,1000,600,3.3,10000,574,503,71,0,0,0,9999.41
200,10,2000,1000,600,3.3,10000,11932,5191,4293,2448,0,0,9993.84
200,10,4000,1000,600,3.3,10000,9118,5121,3036,961,0,0,9996.14
200,10,5000,1000,600,3.3,10000,5927,4513,1205,209,0,0,9997.96
200,10,6000,1000,600,3.3,10000,4081,3516,465,100,0,0,9998.28
200,10,8000,1000,600,3.3,10000,2177,1751,369,57,0,0,9998.43
200,10,10000,1000,600,3.3,10000,1391,1175,204,12,0,0,9998.86
200,10,12000,1000,600,3.3,10000,880,780,100,0,0,0,9999.22
200,10,15000,1000,600,3.3,10000,574,503,71,0,0,0,9999.41
200,12,2000,1000,600,3.3,10000,11891,7867,2251,1773,0,0,9995.2
200,12,4000,1000,600,3.3,10000,9120,7397,1341,382,0,0,9997.78
