seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.973000,0.974359,0.976500,0.932588,0.923100,0.892357,10.000000,39.000000,30.000000,17.000000,10.000000,14.000000,9994.96,0.0212078
861648815,3000,0.965500,0.956692,0.975685,0.919412,0.921900,0.893286,12.000000,13.000000,54.000000,17.000000,10.000000,14.000000,9994.75,0.0220924
861648815,4000,0.872500,0.843846,0.852182,0.877647,0.927655,0.890929,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.01,0.029419
861648815,5000,0.800800,0.796615,0.816455,0.823353,0.920945,0.890929,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.01,0.0294248
861648815,6000,0.698700,0.661154,0.751091,0.746706,0.803308,0.860964,10.000000,13.000000,11.000000,17.000000,13.000000,56.000000,9992.39,0.0320494
861648815,8000,0.402700,0.335615,0.361364,0.597765,0.712154,0.719232,10.000000,13.000000,11.000000,17.000000,13.000000,56.000000,9992.37,0.0320955
716359404,2000,0.970487,0.970214,0.969923,0.929412,0.936500,0.887071,39.000000,14.000000,26.000000,17.000000,10.000000,14.000000,9994.74,0.0221482
716359404,3000,0.968448,0.961769,0.970757,0.916529,0.936600,0.888357,29.000000,13.000000,37.000000,17.000000,10.000000,14.000000,9994.75,0.022075
716359404,4000,0.879800,0.846923,0.854455,0.880765,0.928400,0.886000,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.04,0.0293119
716359404,5000,0.809300,0.791462,0.807182,0.824118,0.927127,0.883214,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.04,0.0292969
716359404,6000,0.720400,0.679923,0.758818,0.750471,0.829923,0.873054,10.000000,13.000000,11.000000,17.000000,13.000000,56.000000,9992.41,0.0319444
716359404,8000,0.428400,0.337000,0.357091,0.601353,0.722792,0.711687,10.000000,13.000000,11.000000,17.000000,53.000000,16.000000,9993.01,0.0294183
518024951,2000,0.969917,0.972537,0.970808,0.923235,0.922600,0.895429,12.000000,41.000000,26.000000,17.000000,10.000000,14.000000,9994.98,0.0211097
518024951,3000,0.965875,0.960923,0.971080,0.908941,0.920400,0.895929,16.000000,13.000000,50.000000,17.000000,10.000000,14.000000,9994.75,0.0220955
518024951,4000,0.872300,0.842846,0.856455,0.872118,0.924564,0.893500,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.02,0.0293913
518024951,5000,0.805400,0.796154,0.805727,0.817765,0.925236,0.891643,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.02,0.0293745
518024951,6000,0.717700,0.679462,0.765727,0.745824,0.805846,0.873125,10.000000,13.000000,11.000000,17.000000,13.000000,56.000000,9992.4,0.0319766
518024951,8000,0.420600,0.331923,0.363909,0.599059,0.714812,0.727340,10.000000,13.000000,11.000000,17.000000,16.000000,53.000000,9992.44,0.0318042
652227427,2000,0.972769,0.973125,0.974700,0.929176,0.929900,0.885714,13.000000,16.000000,50.000000,17.000000,10.000000,14.000000,9994.78,0.0219832
652227427,3000,0.967937,0.960154,0.973940,0.914000,0.929800,0.889929,16.000000,13.000000,50.000000,17.000000,10.000000,14.000000,9994.76,0.0220676
652227427,4000,0.878300,0.850923,0.863545,0.879118,0.929291,0.887214,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.02,0.0293575
652227427,5000,0.810100,0.797846,0.814455,0.825059,0.926582,0.882857,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.03,0.0293408
652227427,6000,0.711500,0.671000,0.773000,0.752294,0.823000,0.869482,10.000000,13.000000,11.000000,17.000000,13.000000,56.000000,9992.4,0.031986
652227427,8000,0.415500,0.334000,0.361182,0.601941,0.722065,0.718816,10.000000,13.000000,11.000000,17.000000,31.000000,38.000000,9992.65,0.0309343
