seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.969000,0.975489,0.973444,0.930467,0.912400,0.879222,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.51,0.0236403
861648815,3000,0.962364,0.921273,0.960200,0.871867,0.912400,0.879222,11.000000,11.000000,40.000000,15.000000,10.000000,9.000000,9995.19,0.0252827
861648815,4000,0.581000,0.458091,0.507778,0.723400,0.914500,0.879333,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0332199
861648815,5000,0.325750,0.279545,0.333556,0.585267,0.902977,0.879333,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0332227
861648815,6000,0.203875,0.167727,0.218111,0.460267,0.446769,0.789750,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.15,0.036018
861648815,8000,0.081200,0.081182,0.097222,0.266936,0.082400,0.169222,10.000000,11.000000,9.000000,47.000000,10.000000,9.000000,9993.78,0.0327352
716359404,2000,0.970184,0.968545,0.969077,0.930133,0.924100,0.868889,38.000000,11.000000,13.000000,15.000000,10.000000,9.000000,9995.17,0.0254061
716359404,3000,0.962216,0.933727,0.945500,0.869867,0.924100,0.868889,37.000000,11.000000,14.000000,15.000000,10.000000,9.000000,9995.17,0.0253976
716359404,4000,0.611250,0.477182,0.521556,0.724067,0.914750,0.868889,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.71,0.0331016
716359404,5000,0.333125,0.288364,0.339000,0.585667,0.911841,0.868889,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.71,0.0331036
716359404,6000,0.211750,0.179000,0.225556,0.463800,0.515692,0.805750,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.18,0.0359029
716359404,8000,0.096200,0.096636,0.109778,0.278277,0.095300,0.189000,10.000000,11.000000,9.000000,47.000000,10.000000,9.000000,9993.8,0.0326388
518024951,2000,0.967800,0.971034,0.969478,0.923667,0.911600,0.876000,10.000000,29.000000,23.000000,15.000000,10.000000,9.000000,9995.37,0.0243582
518024951,3000,0.959937,0.937545,0.950105,0.863600,0.911700,0.876000,32.000000,11.000000,19.000000,15.000000,10.000000,9.000000,9995.17,0.0254114
518024951,4000,0.594500,0.460455,0.512667,0.718667,0.910841,0.876000,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.7,0.0331604
518024951,5000,0.331375,0.287818,0.336667,0.587200,0.907045,0.876000,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.7,0.0331604
518024951,6000,0.214875,0.179727,0.224222,0.464200,0.497846,0.799425,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.17,0.0359577
518024951,8000,0.089125,0.090455,0.104778,0.274234,0.090333,0.167778,8.000000,11.000000,9.000000,47.000000,12.000000,9.000000,9993.71,0.0331168
652227427,2000,0.968000,0.970800,0.969250,0.927067,0.918500,0.872667,10.000000,40.000000,12.000000,15.000000,10.000000,9.000000,9995.47,0.0238531
652227427,3000,0.957054,0.924909,0.939071,0.868600,0.918500,0.872667,37.000000,11.000000,14.000000,15.000000,10.000000,9.000000,9995.16,0.0254747
652227427,4000,0.592500,0.459091,0.510778,0.719733,0.910841,0.873111,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0331831
652227427,5000,0.327375,0.281545,0.335889,0.581400,0.891341,0.873111,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9993.69,0.0331811
652227427,6000,0.206625,0.170545,0.218778,0.458200,0.451923,0.783825,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.16,0.0359771
652227427,8000,0.091750,0.092727,0.103333,0.266319,0.091500,0.179667,8.000000,11.000000,9.000000,47.000000,12.000000,9.000000,9993.71,0.033115
