RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.48,8.1,0,28,5000,1000,600,3.3,10000,10,3,60000,46414,3550,16,10020,0,9998.94
2314927680,1,23,3.48,8.1,0,28,6000,1000,600,3.3,10000,10,3,60000,33974,2198,11,23817,0,9998.94
2314927680,1,23,3.48,8.1,0,28,8000,1000,600,3.3,10000,10,3,60000,20237,703,0,39060,0,9998.94
2314927680,1,23,3.48,8.1,0,28,2000,1000,600,3.3,10000,10,6,60000,55106,4857,37,0,0,9998.86
2314927680,1,23,3.48,8.1,0,28,3000,1000,600,3.3,10000,10,6,60000,55106,4857,37,0,0,9998.86
2314927680,1,23,3.48,8.1,0,28,4000,1000,600,3.3,10000,10,6,60000,55106,4857,37,0,0,9998.86
2314927680,1,23,3.48,8.1,0,28,5000,1000,600,3.3,10000,10,6,60000,55106,4857,37,0,0,9998.86
2314927680,1,23,3.48,8.1,0,28,6000,1000,600,3.3,10000,10,6,60000,47953,3689,18,8340,0,9998.86
2314927680,1,23,3.48,8.1,0,28,8000,1000,600,3.3,10000,10,6,60000,28873,1722,8,29397,0,9998.86
2314927680,1,23,3.48,8.1,0,28,2000,1000,600,3.3,10000,10,9,60000,55106,4857,37,0,0,9998.75
2314927680,1,23,3.48,8.1,0,28,3000,1000,600,3.3,10000,10,9,60000,55106,4857,37,0,0,9998.75
2314927680,1,23,3.48,8.1,0,28,4000,1000,600,3.3,10000,10,9,60000,55106,4857,37,0,0,9998.75
2314927680,1,23,3.48,8.1,0,28,5000,1000,600,3.3,10000,10,9,60000,55106,4857,37,0,0,9998.75
2314927680,1,23,3.48,8.1,0,28,6000,1000,600,3.3,10000,10,9,60000,55106,4857,37,0,0,9998.75
2314927680,1,23,3.48,8.1,0,28,8000,1000,600,3.3,10000,10,9,60000,41401,2925,14,15660,0,9998.75
2314927680,1,23,3.48,8.1,0,28,2000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,3000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,4000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,5000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,6000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,8000,1000,600,3.3,10000,10,12,60000,55106,4857,37,0,0,9998.58
2314927680,1,23,3.48,8.1,0,28,2000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,28,3000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,28,4000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,28,5000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,28,6000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,28,8000,1000,600,3.3,10000,10,14,60000,55106,4857,37,0,0,9998.38
2314927680,1,23,3.48,8.1,0,29,2000,1000,600,3.3,10000,10,3,60000,51445,8429,126,0,0,9998.2
2314927680,1,23,3.48,8.1,0,29,3000,1000,600,3.3,10000,10,3,60000,51445,8429,126,0,0,9998.2
2314927680,1,23,3.48,8.1,0,29,4000,1000,600,3.3,10000,10,3,60000,51445,8429,126,0,0,9998.2
2314927680,1,23,3.48,8.1,0,29,5000,1000,600,3.3,10000,10,3,60000,51445,8429,126,0,0,9998.2
2314927680,1,23,3.48,8.1,0,29,6000,1000,600,3.3,10000,10,3,60000,42915,6208,84,10793,0,9998.2
2314927680,1,23,3.48,8.1,0,29,8000,1000,600,3.3,10000,10,3,60000,26490,2836,34,30640,0,9998.2
2314927680,1,23,3.48,8.1,0,29,2000,1000,600,3.3,10000,10,6,60000,51445,8429,126,0,0,9998.04
2314927680,1,23,3.48,8.1,0,29,3000,1000,600,3.3,10000,10,6,60000,51445,8429,126,0,0,9998.04
2314927680,1,23,3.48,8.1,0,29,4000,1000,600,3.3,10000,10,6,60000,51445,8429,126,0,0,9998.04
2314927680,1,23,3.48,8.1,0,29,5000,1000,600,3.3,10000,10,6,60000,51445,8429,126,0,0,9998.04
2314927680,1,23,3.48,8.1,0,29,6000,1000,600,3.3,10000,10,6,60000,51445,8429,126,0,0,9998.04
2314927680,1,23,3.48,8.1,0,29,8000,1000,600,3.3,10000,10,6,60000,37005,4655,70,18270,0,9998.04
2314927680,1,23,3.48,8.1,0,29,2000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,3000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,4000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,5000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,6000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,8000,1000,600,3.3,10000,10,9,60000,51445,8429,126,0,0,9997.85
2314927680,1,23,3.48,8.1,0,29,2000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,3000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,4000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,5000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,6000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,8000,1000,600,3.3,10000,10,12,60000,51445,8429,126,0,0,9997.53
2314927680,1,23,3.48,8.1,0,29,2000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,29,3000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,29,4000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,29,5000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,29,6000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,29,8000,1000,600,3.3,10000,10,14,60000,51445,8429,126,0,0,9997.17
2314927680,1,23,3.48,8.1,0,30,2000,1000,600,3.3,10000,10,3,60000,45421,14181,398,0,0,9996.84
2314927680,1,23,3.48,8.1,0,30,3000,1000,600,3.3,10000,10,3,60000,45421,14181,398,0,0,9996.84
2314927680,1,23,3.48,8.1,0,30,4000,1000,600,3.3,10000,10,3,60000,45421,14181,398,0,0,9996.84
2314927680,1,23,3.48,8.1,0,30,5000,1000,600,3.3,10000,10,3,60000,45421,14181,398,0,0,9996.84
2314927680,1,23,3.48,8.1,0,30,6000,1000,600,3.3,10000,10,3,60000,45421,14181,398,0,0,9996.84
2314927680,1,23,3.48,8.1,0,30,8000,1000,600,3.3,10000,10,3,60000,31915,7216,178,20691,0,9996.84
2314927680,1,23,3.48,8.1,0,30,2000,1000,600,3.3,10000,10,6,60000,45421,14181,398,0,0,9996.56
2314927680,1,23,3.48,8.1,0,30,3000,1000,600,3.3,10000,10,6,60000,45421,14181,398,0,0,9996.56
2314927680,1,23,3.48,8.1,0,30,4000,1000,600,3.3,10000,10,6,60000,45421,14181,398,0,0,9996.56
2314927680,1,23,3.48,8.1,0,30,5000,1000,600,3.3,10000,10,6,60000,45421,14181,398,0,0,9996.56
2314927680,1,23,3.48,8.1,0,30,6000,1000,600,3.3,10000,10,6,60000,45421,14181,398,0,0,9996.56
2314927680,1,23,3.48,8.1,0,30,8000,1000,600,3.3,10000,10,6,60000,43359,13170,362,3109,0,9996.56
2314927680,1,23,3.48,8.1,0,30,2000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,3000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,4000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,5000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,6000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,8000,1000,600,3.3,10000,10,9,60000,45421,14181,398,0,0,9996.2
2314927680,1,23,3.48,8.1,0,30,2000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,3000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,4000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,5000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,6000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,8000,1000,600,3.3,10000,10,12,60000,45421,14181,398,0,0,9995.63
2314927680,1,23,3.48,8.1,0,30,2000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,30,3000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,30,4000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,30,5000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,30,6000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,30,8000,1000,600,3.3,10000,10,14,60000,45421,14181,398,0,0,9994.96
2314927680,1,23,3.48,8.1,0,31,2000,1000,600,3.3,10000,10,3,59999,36261,22479,1259,0,0,9994.41
2314927680,1,23,3.48,8.1,0,31,3000,1000,600,3.3,10000,10,3,59999,36261,22479,1259,0,0,9994.41
2314927680,1,23,3.48,8.1,0,31,4000,1000,600,3.3,10000,10,3,59999,36261,22479,1259,0,0,9994.41
2314927680,1,23,3.48,8.1,0,31,5000,1000,600,3.3,10000,10,3,59999,36261,22479,1259,0,0,9994.41
2314927680,1,23,3.48,8.1,0,31,6000,1000,600,3.3,10000,10,3,59999,36261,22479,1259,0,0,9994.41
2314927680,1,23,3.48,8.1,0,31,8000,1000,600,3.3,10000,10,3,59999,33036,18860,1030,7073,0,9994.41
