RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinalcurrenthora
2314927680,1,5,2000,1000,600,3.3,10000,4,9,24000,21755,1718,277,250,0,9998.235126,0.037140
2314927680,1,5,3000,1000,600,3.3,10000,4,9,24000,20554,1652,271,1523,0,9998.229340,0.037261
2314927680,1,5,4000,1000,600,3.3,10000,4,9,24000,18273,1482,253,3992,0,9998.227406,0.037302
2314927680,1,5,5000,1000,600,3.3,10000,4,9,24000,16389,1323,225,6063,0,9998.228023,0.037289
2314927680,1,5,6000,1000,600,3.3,10000,4,9,24000,12633,1034,150,10183,0,9998.235327,0.037135
2314927680,1,5,8000,1000,600,3.3,10000,4,9,24000,7999,454,61,15486,0,9998.226049,0.037331
861648815,1,5,2000,1000,600,3.3,10000,4,9,23999,22026,1448,287,238,0,9998.228230,0.037285
861648815,1,5,3000,1000,600,3.3,10000,4,9,23999,20789,1368,281,1561,0,9998.225831,0.037335
861648815,1,5,4000,1000,600,3.3,10000,4,9,23999,18606,1282,268,3843,0,9998.225017,0.037352
861648815,1,5,5000,1000,600,3.3,10000,4,9,24000,16742,1148,246,5864,0,9998.230078,0.037246
861648815,1,5,6000,1000,600,3.3,10000,4,9,23999,12820,978,180,10021,0,9998.230021,0.037247
861648815,1,5,8000,1000,600,3.3,10000,4,9,24000,8189,410,46,15355,0,9998.227628,0.037297
716359404,1,5,2000,1000,600,3.3,10000,4,9,24000,22354,1138,269,239,0,9998.229597,0.037256
716359404,1,5,3000,1000,600,3.3,10000,4,9,24000,21092,1066,265,1577,0,9998.228958,0.037269
716359404,1,5,4000,1000,600,3.3,10000,4,9,24000,18990,985,238,3787,0,9998.229728,0.037253
716359404,1,5,5000,1000,600,3.3,10000,4,9,24000,17086,823,203,5888,0,9998.220327,0.037451
716359404,1,5,6000,1000,600,3.3,10000,4,9,24000,13374,709,162,9755,0,9998.223903,0.037376
716359404,1,5,8000,1000,600,3.3,10000,4,9,24000,8478,324,68,15130,0,9998.231727,0.037211
518024951,1,5,2000,1000,600,3.3,10000,4,9,23999,22001,1452,299,247,0,9998.228710,0.037275
518024951,1,5,3000,1000,600,3.3,10000,4,9,23999,20566,1403,287,1743,0,9998.233718,0.037169
518024951,1,5,4000,1000,600,3.3,10000,4,9,24000,18612,1300,271,3817,0,9998.222747,0.037400
518024951,1,5,5000,1000,600,3.3,10000,4,9,24000,16551,1154,233,6062,0,9998.232351,0.037198
518024951,1,5,6000,1000,600,3.3,10000,4,9,24000,12920,858,162,10060,0,9998.226945,0.037312
518024951,1,5,8000,1000,600,3.3,10000,4,9,24000,8202,385,59,15354,0,9998.227886,0.037292
652227427,1,5,2000,1000,600,3.3,10000,4,9,23999,22054,1365,268,312,0,9998.233423,0.037175
652227427,1,5,3000,1000,600,3.3,10000,4,9,23999,20691,1303,255,1750,0,9998.230259,0.037242
652227427,1,5,4000,1000,600,3.3,10000,4,9,23999,18511,1245,228,4015,0,9998.229468,0.037259
652227427,1,5,5000,1000,600,3.3,10000,4,9,23999,16696,1135,208,5960,0,9998.221189,0.037433
652227427,1,5,6000,1000,600,3.3,10000,4,9,23999,12911,886,156,10046,0,9998.230473,0.037238
652227427,1,5,8000,1000,600,3.3,10000,4,9,23999,8370,385,60,15184,0,9998.229638,0.037255
2447348191,1,5,2000,1000,600,3.3,10000,4,9,24000,22003,1479,262,256,0,9998.222961,0.037396
2447348191,1,5,3000,1000,600,3.3,10000,4,9,24000,20761,1435,258,1546,0,9998.227812,0.037294
2447348191,1,5,4000,1000,600,3.3,10000,4,9,24000,18901,1396,232,3471,0,9998.228717,0.037274
2447348191,1,5,5000,1000,600,3.3,10000,4,9,24000,16534,1191,212,6063,0,9998.232361,0.037198
2447348191,1,5,6000,1000,600,3.3,10000,4,9,24000,12670,928,157,10245,0,9998.229280,0.037263
2447348191,1,5,8000,1000,600,3.3,10000,4,9,24000,8369,386,72,15173,0,9998.227672,0.037296
2314927680,1,6,2000,1000,600,3.3,10000,4,9,24000,21139,2361,393,107,0,9997.837335,0.045511
2314927680,1,6,3000,1000,600,3.3,10000,4,9,24000,20468,2255,388,889,0,9997.842345,0.045405
2314927680,1,6,4000,1000,600,3.3,10000,4,9,24000,18994,2092,363,2551,0,9997.841521,0.045423
2314927680,1,6,5000,1000,600,3.3,10000,4,9,24000,17032,1983,337,4648,0,9997.835751,0.045544
2314927680,1,6,6000,1000,600,3.3,10000,4,9,24000,15068,1656,282,6994,0,9997.844457,0.045361
2314927680,1,6,8000,1000,600,3.3,10000,4,9,24000,9401,636,110,13853,0,9997.843400,0.045383
861648815,1,6,2000,1000,600,3.3,10000,4,9,23999,21582,1918,427,72,0,9997.839324,0.045469
861648815,1,6,3000,1000,600,3.3,10000,4,9,23999,20838,1930,425,806,0,9997.846886,0.045310
861648815,1,6,4000,1000,600,3.3,10000,4,9,23999,19150,1790,395,2664,0,9997.840673,0.045440
861648815,1,6,5000,1000,600,3.3,10000,4,9,23999,17693,1637,363,4306,0,9997.840038,0.045454
861648815,1,6,6000,1000,600,3.3,10000,4,9,23999,15359,1407,320,6913,0,9997.839515,0.045465
861648815,1,6,8000,1000,600,3.3,10000,4,9,24000,9419,605,103,13873,0,9997.841802,0.045417
716359404,1,6,2000,1000,600,3.3,10000,4,9,24000,21394,2073,435,98,0,9997.839760,0.045460
716359404,1,6,3000,1000,600,3.3,10000,4,9,24000,20677,2010,425,888,0,9997.836809,0.045522
716359404,1,6,4000,1000,600,3.3,10000,4,9,24000,19211,1848,387,2554,0,9997.844076,0.045369
716359404,1,6,5000,1000,600,3.3,10000,4,9,24000,17275,1731,350,4644,0,9997.845595,0.045337
716359404,1,6,6000,1000,600,3.3,10000,4,9,24000,15448,1460,270,6822,0,9997.839139,0.045473
716359404,1,6,8000,1000,600,3.3,10000,4,9,24000,9780,621,109,13490,0,9997.839290,0.045469
518024951,1,6,2000,1000,600,3.3,10000,4,9,23999,21385,2064,446,104,0,9997.843717,0.045376
518024951,1,6,3000,1000,600,3.3,10000,4,9,23999,20602,1961,435,1001,0,9997.841328,0.045427
518024951,1,6,4000,1000,600,3.3,10000,4,9,23999,18922,1927,419,2731,0,9997.840103,0.045452
518024951,1,6,5000,1000,600,3.3,10000,4,9,23999,17283,1661,353,4702,0,9997.844501,0.045360
518024951,1,6,6000,1000,600,3.3,10000,4,9,24000,15240,1473,303,6984,0,9997.842653,0.045399
518024951,1,6,8000,1000,600,3.3,10000,4,9,23999,9484,543,93,13879,0,9997.842543,0.045401
652227427,1,6,2000,1000,600,3.3,10000,4,9,23999,21426,2104,387,82,0,9997.838066,0.045495
652227427,1,6,3000,1000,600,3.3,10000,4,9,23999,20679,2065,380,875,0,9997.839153,0.045472
652227427,1,6,4000,1000,600,3.3,10000,4,9,23999,18986,1918,350,2745,0,9997.843270,0.045386
652227427,1,6,5000,1000,600,3.3,10000,4,9,23999,17223,1798,313,4665,0,9997.835018,0.045559
652227427,1,6,6000,1000,600,3.3,10000,4,9,23999,15137,1436,261,7165,0,9997.845601,0.045337
652227427,1,6,8000,1000,600,3.3,10000,4,9,23999,9434,633,100,13832,0,9997.844046,0.045369
2447348191,1,6,2000,1000,600,3.3,10000,4,9,24000,21514,2023,397,66,0,9997.841160,0.045430
