RunSeed,Seed,packetSize,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,2.1947,11.8139,1,1000,1000,600,3.3,10000,12000,11503,497,0,0,0,9999.81
2314927680,1,23,2.1947,11.8139,2,1000,1000,600,3.3,10000,11994,4010,6987,997,0,0,9996.43
2314927680,1,23,2.1947,11.8139,3,1000,1000,600,3.3,10000,12000,10932,942,126,0,0,9998.75
2314927680,1,23,2.1947,11.8139,6,1000,1000,600,3.3,10000,12000,11617,380,3,0,0,9999.78
2314927680,1,23,2.1947,11.8139,9,1000,1000,600,3.3,10000,11999,11271,620,108,0,0,9998.76
2314927680,1,23,2.1947,11.8139,10,1000,1000,600,3.3,10000,11999,9956,1853,190,0,0,9998.46
2314927680,1,23,2.1947,11.8139,28,1000,1000,600,3.3,10000,12000,10995,996,9,0,0,9999.68
2314927680,1,23,2.1947,11.8139,29,1000,1000,600,3.3,10000,12000,10198,1776,26,0,0,9999.43
2314927680,1,23,2.1947,11.8139,30,1000,1000,600,3.3,10000,12000,8955,2969,76,0,0,9998.99
2314927680,1,23,2.1947,11.8139,31,1000,1000,600,3.3,10000,11999,7036,4705,258,0,0,9998.2
2314927680,1,23,2.1947,11.8139,1,2000,1000,600,3.3,10000,12000,8348,316,0,3336,0,9999.81
2314927680,1,23,2.1947,11.8139,2,2000,1000,600,3.3,10000,11994,4011,6986,997,0,0,9996.43
2314927680,1,23,2.1947,11.8139,3,2000,1000,600,3.3,10000,12000,10932,942,126,0,0,9998.75
2314927680,1,23,2.1947,11.8139,6,2000,1000,600,3.3,10000,12000,11308,668,24,0,0,9999.44
2314927680,1,23,2.1947,11.8139,9,2000,1000,600,3.3,10000,11999,10937,618,108,336,0,9998.76
2314927680,1,23,2.1947,11.8139,10,2000,1000,600,3.3,10000,11999,9838,1944,217,0,0,9998.41
2314927680,1,23,2.1947,11.8139,28,2000,1000,600,3.3,10000,12000,10995,996,9,0,0,9999.68
2314927680,1,23,2.1947,11.8139,29,2000,1000,600,3.3,10000,12000,10198,1776,26,0,0,9999.43
2314927680,1,23,2.1947,11.8139,30,2000,1000,600,3.3,10000,12000,8955,2969,76,0,0,9998.99
2314927680,1,23,2.1947,11.8139,31,2000,1000,600,3.3,10000,11999,7036,4705,258,0,0,9998.2
2314927680,1,23,2.1947,11.8139,1,4000,1000,600,3.3,10000,12000,2171,13,0,9816,0,9999.81
2314927680,1,23,2.1947,11.8139,2,4000,1000,600,3.3,10000,11994,4011,6986,997,0,0,9996.43
2314927680,1,23,2.1947,11.8139,3,4000,1000,600,3.3,10000,12000,10763,938,121,178,0,9998.75
2314927680,1,23,2.1947,11.8139,6,4000,1000,600,3.3,10000,11998,8811,2735,452,0,0,9997.76
2314927680,1,23,2.1947,11.8139,9,4000,1000,600,3.3,10000,11999,7109,550,90,4250,0,9998.76
2314927680,1,23,2.1947,11.8139,28,4000,1000,600,3.3,10000,12000,3671,145,0,8184,0,9999.68
