seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.925148,0.948965,0.934296,0.800592,0.804729,0.750826,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.26,0.0199585
861648815,3000,0.897424,0.901060,0.886977,0.777150,0.800980,0.748035,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.26,0.0199464
861648815,4000,0.862312,0.869669,0.856205,0.756258,0.768025,0.727388,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.26,0.0199486
861648815,5000,0.834412,0.859020,0.840464,0.729577,0.754672,0.687603,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.26,0.0199366
861648815,6000,0.787904,0.798500,0.814883,0.693117,0.723746,0.675418,10.000000,15.000000,54.000000,17.000000,10.000000,14.000000,9994.94,0.0213138
861648815,8000,0.646645,0.637171,0.628659,0.629918,0.701898,0.652786,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.25,0.0283951
716359404,2000,0.927619,0.950009,0.934295,0.803837,0.809676,0.750372,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.29,0.0198127
716359404,3000,0.892282,0.899457,0.882471,0.783674,0.807995,0.746880,12.000000,56.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.0198988
716359404,4000,0.863388,0.869487,0.851523,0.763492,0.776325,0.728694,11.000000,57.000000,11.000000,17.000000,10.000000,14.000000,9995.28,0.0198741
716359404,5000,0.837356,0.855585,0.837280,0.732430,0.759964,0.682370,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.29,0.0198215
716359404,6000,0.797844,0.806097,0.818756,0.700447,0.730916,0.678002,10.000000,15.000000,54.000000,17.000000,10.000000,14.000000,9994.97,0.0211806
716359404,8000,0.659069,0.638200,0.624695,0.635750,0.704538,0.652574,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.28,0.0282681
518024951,2000,0.925070,0.949661,0.936081,0.797728,0.802999,0.752967,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.0198916
518024951,3000,0.893155,0.901930,0.885451,0.777542,0.801286,0.752987,11.000000,57.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.0199268
518024951,4000,0.862392,0.867580,0.849545,0.756510,0.767047,0.731242,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.28,0.0198661
518024951,5000,0.833746,0.855542,0.834281,0.726305,0.754772,0.687690,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.0198935
518024951,6000,0.797820,0.807625,0.823065,0.695024,0.722707,0.675810,10.000000,15.000000,54.000000,17.000000,10.000000,14.000000,9994.95,0.0212556
518024951,8000,0.653699,0.634995,0.630797,0.631349,0.700917,0.652276,10.000000,13.000000,11.000000,17.000000,55.000000,14.000000,9993.27,0.0283207
652227427,2000,0.926151,0.949597,0.939051,0.801418,0.807287,0.749179,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.28,0.019883
652227427,3000,0.892549,0.898999,0.886112,0.778152,0.805643,0.745322,11.000000,57.000000,11.000000,17.000000,10.000000,14.000000,9995.26,0.0199412
652227427,4000,0.862288,0.868834,0.852671,0.756172,0.773469,0.725897,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.0198968
652227427,5000,0.837279,0.856317,0.839212,0.730763,0.755356,0.680070,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.27,0.019892
652227427,6000,0.791204,0.801275,0.819263,0.697267,0.726428,0.671754,10.000000,15.000000,54.000000,17.000000,10.000000,14.000000,9994.95,0.0212402
