RunSeed,Seed,packetSize,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,-2.2244,11.1645,1,1000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,2,1000,1000,600,3.3,10000,11994,3865,7132,997,0,0,9996.43
2314927680,1,23,-2.2244,11.1645,3,1000,1000,600,3.3,10000,11999,11012,859,128,0,0,9998.75
2314927680,1,23,-2.2244,11.1645,6,1000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,9,1000,1000,600,3.3,10000,11999,11210,678,111,0,0,9998.76
2314927680,1,23,-2.2244,11.1645,10,1000,1000,600,3.3,10000,11999,10135,1661,203,0,0,9998.46
2314927680,1,23,-2.2244,11.1645,28,1000,1000,600,3.3,10000,12000,10989,1002,9,0,0,9999.68
2314927680,1,23,-2.2244,11.1645,29,1000,1000,600,3.3,10000,12000,10183,1791,26,0,0,9999.43
2314927680,1,23,-2.2244,11.1645,30,1000,1000,600,3.3,10000,12000,8904,3020,76,0,0,9998.99
2314927680,1,23,-2.2244,11.1645,31,1000,1000,600,3.3,10000,11999,6960,4781,258,0,0,9998.2
2314927680,1,23,-2.2244,11.1645,1,2000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,2,2000,1000,600,3.3,10000,11994,3865,7132,997,0,0,9996.43
2314927680,1,23,-2.2244,11.1645,3,2000,1000,600,3.3,10000,11999,11012,859,128,0,0,9998.75
2314927680,1,23,-2.2244,11.1645,6,2000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,9,2000,1000,600,3.3,10000,11999,11207,681,111,0,0,9998.76
2314927680,1,23,-2.2244,11.1645,10,2000,1000,600,3.3,10000,11999,10135,1661,203,0,0,9998.46
2314927680,1,23,-2.2244,11.1645,28,2000,1000,600,3.3,10000,12000,10989,1002,9,0,0,9999.68
2314927680,1,23,-2.2244,11.1645,29,2000,1000,600,3.3,10000,12000,10183,1791,26,0,0,9999.43
2314927680,1,23,-2.2244,11.1645,30,2000,1000,600,3.3,10000,12000,8904,3020,76,0,0,9998.99
2314927680,1,23,-2.2244,11.1645,31,2000,1000,600,3.3,10000,11999,6960,4781,258,0,0,9998.2
2314927680,1,23,-2.2244,11.1645,1,4000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,2,4000,1000,600,3.3,10000,11994,3865,7132,997,0,0,9996.43
2314927680,1,23,-2.2244,11.1645,3,4000,1000,600,3.3,10000,11999,11012,859,128,0,0,9998.75
2314927680,1,23,-2.2244,11.1645,6,4000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,9,4000,1000,600,3.3,10000,11999,11207,681,111,0,0,9998.76
2314927680,1,23,-2.2244,11.1645,28,4000,1000,600,3.3,10000,12000,10989,1002,9,0,0,9999.68
2314927680,1,23,-2.2244,11.1645,29,4000,1000,600,3.3,10000,12000,10183,1791,26,0,0,9999.43
2314927680,1,23,-2.2244,11.1645,30,4000,1000,600,3.3,10000,12000,8904,3020,76,0,0,9998.99
2314927680,1,23,-2.2244,11.1645,31,4000,1000,600,3.3,10000,11999,6960,4781,258,0,0,9998.2
2314927680,1,23,-2.2244,11.1645,10,5000,1000,600,3.3,10000,11999,10135,1661,203,0,0,9998.46
2314927680,1,23,-2.2244,11.1645,1,5000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,2,5000,1000,600,3.3,10000,11994,3865,7132,997,0,0,9996.43
2314927680,1,23,-2.2244,11.1645,3,5000,1000,600,3.3,10000,11999,11012,859,128,0,0,9998.75
2314927680,1,23,-2.2244,11.1645,6,5000,1000,600,3.3,10000,12000,11501,499,0,0,0,9999.81
2314927680,1,23,-2.2244,11.1645,9,5000,1000,600,3.3,10000,11999,11207,681,111,0,0,9998.76
2314927680,1,23,-2.2244,11.1645,10,5000,1000,600,3.3,10000,11999,10135,1661,203,0,0,9998.46
2314927680,1,23,-2.2244,11.1645,28,5000,1000,600,3.3,10000,12000,10989,1002,9,0,0,9999.68
2314927680,1,23,-2.2244,11.1645,29,5000,1000,600,3.3,10000,12000,10183,1791,26,0,0,9999.43
2314927680,1,23,-2.2244,11.1645,30,5000,1000,600,3.3,10000,12000,8904,3020,76,0,0,9998.99
2314927680,1,23,-2.2244,11.1645,31,5000,1000,600,3.3,10000,11999,6960,4781,258,0,0,9998.2
