packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
80,1,2000,200,600,3.3,10000,2400,2342,58,0,0,0,9999.63
80,1,4000,200,600,3.3,10000,2400,2342,58,0,0,0,9999.63
80,1,5000,200,600,3.3,10000,1668,1640,28,0,0,0,9999.73
80,1,6000,200,600,3.3,10000,1212,1205,7,0,0,0,9999.8
80,1,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.87
80,1,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.9
80,1,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.91
80,1,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.93
80,2,2000,200,600,3.3,10000,2400,1642,724,34,0,0,9993.26
80,2,4000,200,600,3.3,10000,2400,1642,724,34,0,0,9993.26
80,2,5000,200,600,3.3,10000,1668,1308,349,11,0,0,9995.31
80,2,6000,200,600,3.3,10000,1212,1031,179,2,0,0,9996.58
80,2,8000,200,600,3.3,10000,708,656,52,0,0,0,9997.99
80,2,10000,200,600,3.3,10000,468,435,33,0,0,0,9998.66
80,2,12000,200,600,3.3,10000,372,342,30,0,0,0,9998.93
80,2,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.33
80,3,2000,200,600,3.3,10000,2400,2309,90,1,0,0,9997.56
80,3,4000,200,600,3.3,10000,2400,2309,90,1,0,0,9997.56
80,3,5000,200,600,3.3,10000,1668,1654,14,0,0,0,9999.2
80,3,6000,200,600,3.3,10000,1212,1212,0,0,0,0,9999.62
80,3,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.83
80,3,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.89
80,3,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.91
80,3,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.93
80,6,2000,200,600,3.3,10000,2400,2342,58,0,0,0,9999.63
80,6,4000,200,600,3.3,10000,2400,2358,42,0,0,0,9999.4
80,6,5000,200,600,3.3,10000,1668,1658,10,0,0,0,9999.55
80,6,6000,200,600,3.3,10000,1212,1212,0,0,0,0,9999.66
80,6,8000,200,600,3.3,10000,708,708,0,0,0,0,9999.79
80,6,10000,200,600,3.3,10000,468,468,0,0,0,0,9999.86
80,6,12000,200,600,3.3,10000,372,372,0,0,0,0,9999.87
80,6,15000,200,600,3.3,10000,228,228,0,0,0,0,9999.91
80,7,2000,200,600,3.3,10000,2400,2379,21,0,0,0,9998.98
80,7,4000,200,600,3.3,10000,2400,2362,38,0,0,0,9998.82
80,7,5000,200,600,3.3,10000,1668,1635,33,0,0,0,9999.27
80,7,6000,200,600,3.3,10000,1212,1203,9,0,0,0,9998.83
80,7,8000,200,600,3.3,10000,708,696,12,0,0,0,9998.89
80,7,10000,200,600,3.3,10000,468,448,20,0,0,0,9999.03
80,7,12000,200,600,3.3,10000,372,352,20,0,0,0,9999.15
80,7,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.4
80,8,2000,200,600,3.3,10000,2400,2040,340,20,0,0,9995.01
80,8,4000,200,600,3.3,10000,2400,2040,340,20,0,0,9994.99
80,8,5000,200,600,3.3,10000,1668,1561,100,7,0,0,9996.98
80,8,6000,200,600,3.3,10000,1212,1179,33,0,0,0,9998.01
80,8,8000,200,600,3.3,10000,708,696,12,0,0,0,9998.73
80,8,10000,200,600,3.3,10000,468,448,20,0,0,0,9999.02
80,8,12000,200,600,3.3,10000,372,352,20,0,0,0,9999.15
80,8,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.4
80,10,2000,200,600,3.3,10000,2400,2245,150,5,0,0,9996.9
80,10,4000,200,600,3.3,10000,2400,2242,153,5,0,0,9996.89
80,10,5000,200,600,3.3,10000,1668,1617,47,4,0,0,9998.26
80,10,6000,200,600,3.3,10000,1212,1199,13,0,0,0,9998.49
80,10,8000,200,600,3.3,10000,708,696,12,0,0,0,9998.83
80,10,10000,200,600,3.3,10000,468,448,20,0,0,0,9999.02
80,10,12000,200,600,3.3,10000,372,352,20,0,0,0,9999.15
80,10,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.4
80,12,2000,200,600,3.3,10000,2400,2309,90,1,0,0,9997.59
80,12,4000,200,600,3.3,10000,2400,2305,94,1,0,0,9997.54
80,12,5000,200,600,3.3,10000,1668,1624,44,0,0,0,9998.98
80,12,6000,200,600,3.3,10000,1212,1198,14,0,0,0,9998.79
80,12,8000,200,600,3.3,10000,708,696,12,0,0,0,9998.88
80,12,10000,200,600,3.3,10000,468,448,20,0,0,0,9999.03
80,12,12000,200,600,3.3,10000,372,352,20,0,0,0,9999.15
80,12,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.4
80,13,2000,200,600,3.3,10000,2400,2337,63,0,0,0,9998.44
80,13,4000,200,600,3.3,10000,2400,2329,71,0,0,0,9998.38
80,13,5000,200,600,3.3,10000,1668,1638,30,0,0,0,9999.11
80,13,6000,200,600,3.3,10000,1212,1198,14,0,0,0,9998.8
80,13,8000,200,600,3.3,10000,708,696,12,0,0,0,9998.89
80,13,10000,200,600,3.3,10000,468,448,20,0,0,0,9999.03
80,13,12000,200,600,3.3,10000,372,352,20,0,0,0,9999.15
80,13,15000,200,600,3.3,10000,228,216,12,0,0,0,9999.4
80,1,2000,1000,600,3.3,10000,12000,10850,1139,11,0,0,9999.63
80,1,4000,1000,600,3.3,10000,12000,10850,1139,11,0,0,9999.63
80,1,5000,1000,600,3.3,10000,8268,7715,547,6,0,0,9999.74
80,1,6000,1000,600,3.3,10000,5952,5665,284,3,0,0,9999.8
80,1,8000,1000,600,3.3,10000,3276,3179,97,0,0,0,9999.87
80,1,10000,1000,600,3.3,10000,2064,2034,30,0,0,0,9999.91
80,1,12000,1000,600,3.3,10000,1440,1422,18,0,0,0,9999.92
80,1,15000,1000,600,3.3,10000,828,810,18,0,0,0,9999.94
80,2,2000,1000,600,3.3,10000,12000,1987,7245,2768,0,0,9993.26
80,2,4000,1000,600,3.3,10000,12000,1987,7245,2768,0,0,9993.26
80,2,5000,1000,600,3.3,10000,8267,2168,4936,1163,0,0,9995.35
80,2,6000,1000,600,3.3,10000,5952,2191,3225,536,0,0,9996.64
80,2,8000,1000,600,3.3,10000,3276,1821,1333,122,0,0,9998.13
80,2,10000,1000,600,3.3,10000,2064,1406,622,36,0,0,9998.81
80,2,12000,1000,600,3.3,10000,1440,1129,301,10,0,0,9999.16
80,2,15000,1000,600,3.3,10000,828,720,107,1,0,0,9999.5
80,3,2000,1000,600,3.3,10000,12000,9874,1513,613,0,0,9997.57
80,3,4000,1000,600,3.3,10000,12000,9874,1513,613,0,0,9997.57
80,3,5000,1000,600,3.3,10000,8268,7701,516,51,0,0,9999.23
80,3,6000,1000,600,3.3,10000,5952,5708,238,6,0,0,9999.64
80,3,8000,1000,600,3.3,10000,3276,3194,81,1,0,0,9999.85
80,3,10000,1000,600,3.3,10000,2064,2034,30,0,0,0,9999.91
80,3,12000,1000,600,3.3,10000,1440,1422,18,0,0,0,9999.92
80,3,15000,1000,600,3.3,10000,828,810,18,0,0,0,9999.94
80,6,2000,1000,600,3.3,10000,12000,10850,1139,11,0,0,9999.63
80,6,4000,1000,600,3.3,10000,12000,11254,718,28,0,0,9999.4
80,6,5000,1000,600,3.3,10000,8268,7885,372,11,0,0,9999.55
80,6,6000,1000,600,3.3,10000,5952,5749,199,4,0,0,9999.66
80,6,8000,1000,600,3.3,10000,3276,3200,73,3,0,0,9999.8
80,6,10000,1000,600,3.3,10000,2064,2046,18,0,0,0,9999.86
80,6,12000,1000,600,3.3,10000,1440,1422,18,0,0,0,9999.89
80,6,15000,1000,600,3.3,10000,828,828,0,0,0,0,9999.92
80,7,2000,1000,600,3.3,10000,12000,11253,642,105,0,0,9998.98
80,7,4000,1000,600,3.3,10000,12000,11170,693,137,0,0,9998.82
80,7,5000,1000,600,3.3,10000,8268,7725,502,41,0,0,9999.27
80,7,6000,1000,600,3.3,10000,5952,5569,327,56,0,0,9998.9
80,7,8000,1000,600,3.3,10000,3276,2816,403,57,0,0,9998.88
80,7,10000,1000,600,3.3,10000,2064,1779,269,16,0,0,9999.12
80,7,12000,1000,600,3.3,10000,1440,1269,164,7,0,0,9999.34
80,7,15000,1000,600,3.3,10000,828,763,64,1,0,0,9999.57
80,8,2000,1000,600,3.3,10000,11999,5176,4967,1856,0,0,9995.01
80,8,4000,1000,600,3.3,10000,11999,5170,4966,1863,0,0,9994.99
80,8,5000,1000,600,3.3,10000,8267,5408,2262,597,0,0,9997.02
80,8,6000,1000,600,3.3,10000,5952,4701,1060,191,0,0,9998.05
80,8,8000,1000,600,3.3,10000,3276,2780,432,64,0,0,9998.76
80,8,10000,1000,600,3.3,10000,2064,1776,272,16,0,0,9999.11
80,8,12000,1000,600,3.3,10000,1440,1269,164,7,0,0,9999.33
80,8,15000,1000,600,3.3,10000,828,763,64,1,0,0,9999.57
80,10,2000,1000,600,3.3,10000,12000,7819,3284,897,0,0,9996.9
80,10,4000,1000,600,3.3,10000,12000,7805,3290,905,0,0,9996.89
80,10,5000,1000,600,3.3,10000,8268,6347,1697,224,0,0,9998.27
80,10,6000,1000,600,3.3,10000,5952,5162,690,100,0,0,9998.56
80,10,8000,1000,600,3.3,10000,3276,2794,424,58,0,0,9998.84
80,10,10000,1000,600,3.3,10000,2064,1779,269,16,0,0,9999.12
80,10,12000,1000,600,3.3,10000,1440,1269,164,7,0,0,9999.33
80,10,15000,1000,600,3.3,10000,828,763,64,1,0,0,9999.57
80,12,2000,1000,600,3.3,10000,12000,9864,1525,611,0,0,9997.58
80,12,4000,1000,600,3.3,10000,12000,9783,1578,639,0,0,9997.52
80,12,5000,1000,600,3.3,10000,8268,7289,890,89,0,0,9998.99
80,12,6000,1000,600,3.3,10000,5952,5590,306,56,0,0,9998.85
80,12,8000,1000,600,3.3,10000,3276,2816,403,57,0,0,9998.88
80,12,10000,1000,600,3.3,10000,2064,1779,269,16,0,0,9999.12
80,12,12000,1000,600,3.3,10000,1440,1269,164,7,0,0,9999.34
80,12,15000,1000,600,3.3,10000,828,763,64,1,0,0,9999.57
80,13,2000,1000,600,3.3,10000,12000,10480,1272,248,0,0,9998.44
80,13,4000,1000,600,3.3,10000,12000,10311,1419,270,0,0,9998.37
80,13,5000,1000,600,3.3,10000,8268,7427,779,62,0,0,9999.11
80,13,6000,1000,600,3.3,10000,5952,5576,320,56,0,0,9998.87
80,13,8000,1000,600,3.3,10000,3276,2816,403,57,0,0,9998.88
80,13,10000,1000,600,3.3,10000,2064,1779,269,16,0,0,9999.12
80,13,12000,1000,600,3.3,10000,1440,1269,164,7,0,0,9999.34
80,13,15000,1000,600,3.3,10000,828,763,64,1,0,0,9999.57
