RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2447348191,1,23,3.78,41,79,0,2,8000,1000,600,3.3,10000,4,3,24000,2501,12,0,21487,0,9999.29

2314927680,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,4,3,24000,14290,272,7,9431,0,9999.5
2314927680,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,4,3,24000,9690,162,2,14146,0,9999.5
2314927680,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,4,3,24000,7804,125,0,16071,0,9999.5
2314927680,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,4,3,24000,6030,92,0,17878,0,9999.5
2314927680,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,4,3,24000,4190,51,0,19759,0,9999.5
2314927680,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,4,3,24000,2399,12,0,21589,0,9999.5
861648815,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,4,3,24000,14186,273,6,9535,0,9999.5
861648815,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,4,3,24000,9626,148,3,14223,0,9999.5
861648815,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,4,3,24000,7787,115,0,16098,0,9999.51
861648815,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,4,3,24000,6033,85,0,17882,0,9999.51
861648815,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,4,3,24000,4186,46,0,19768,0,9999.51
861648815,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,4,3,24000,2378,20,0,21602,0,9999.51
716359404,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,4,3,23999,14216,181,8,9594,0,9999.5
716359404,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,4,3,23999,9639,70,4,14286,0,9999.5
716359404,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,4,3,24000,7851,51,4,16094,0,9999.5
716359404,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,4,3,24000,6036,35,3,17926,0,9999.5
716359404,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,4,3,24000,4161,21,1,19817,0,9999.5
716359404,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,4,3,24000,2357,9,0,21634,0,9999.5
518024951,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,4,3,24000,14068,295,11,9626,0,9999.5
518024951,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,4,3,24000,9477,183,4,14336,0,9999.5
518024951,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,4,3,24000,7754,141,3,16102,0,9999.5
518024951,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,4,3,24000,6044,97,2,17857,0,9999.5
518024951,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,4,3,24000,4140,57,2,19801,0,9999.5
518024951,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,4,3,24000,2307,19,1,21673,0,9999.5
652227427,1,23,3.78,41,79,0,3,2000,1000,600,3.3,10000,4,3,24000,14197,236,18,9549,0,9999.5
652227427,1,23,3.78,41,79,0,3,3000,1000,600,3.3,10000,4,3,24000,9600,63,3,14334,0,9999.5
652227427,1,23,3.78,41,79,0,3,4000,1000,600,3.3,10000,4,3,24000,7773,36,1,16190,0,9999.5
652227427,1,23,3.78,41,79,0,3,5000,1000,600,3.3,10000,4,3,24000,6022,16,0,17962,0,9999.5
652227427,1,23,3.78,41,79,0,3,6000,1000,600,3.3,10000,4,3,24000,4190,11,0,19799,0,9999.5
652227427,1,23,3.78,41,79,0,3,8000,1000,600,3.3,10000,4,3,24000,2430,8,0,21562,0,9999.5
2314927680,1,23,3.78,41,79,0,10,2000,1000,600,3.3,10000,4,3,23998,18261,1108,238,4391,0,9998.46
2314927680,1,23,3.78,41,79,0,10,3000,1000,600,3.3,10000,4,3,23999,13091,723,168,10017,0,9998.46
2314927680,1,23,3.78,41,79,0,10,4000,1000,600,3.3,10000,4,3,23999,9789,395,64,13751,0,9998.46
2314927680,1,23,3.78,41,79,0,10,5000,1000,600,3.3,10000,4,3,23999,8128,217,39,15615,0,9998.46
2314927680,1,23,3.78,41,79,0,10,6000,1000,600,3.3,10000,4,3,23998,6951,192,35,16820,0,9998.46
2314927680,1,23,3.78,41,79,0,10,8000,1000,600,3.3,10000,4,3,23998,5158,129,15,18696,0,9998.46
861648815,1,23,3.78,41,79,0,10,2000,1000,600,3.3,10000,4,3,23998,17787,1423,301,4487,0,9998.39
861648815,1,23,3.78,41,79,0,10,3000,1000,600,3.3,10000,4,3,24000,12927,971,188,9914,0,9998.39
861648815,1,23,3.78,41,79,0,10,4000,1000,600,3.3,10000,4,3,24000,9745,573,108,13574,0,9998.39
861648815,1,23,3.78,41,79,0,10,5000,1000,600,3.3,10000,4,3,24000,8116,359,69,15456,0,9998.39
861648815,1,23,3.78,41,79,0,10,6000,1000,600,3.3,10000,4,3,24000,6965,260,50,16725,0,9998.39
861648815,1,23,3.78,41,79,0,10,8000,1000,600,3.3,10000,4,3,23999,5396,121,34,18448,0,9998.39
716359404,1,23,3.78,41,79,0,10,2000,1000,600,3.3,10000,4,3,23997,18021,1095,199,4682,0,9998.46
716359404,1,23,3.78,41,79,0,10,3000,1000,600,3.3,10000,4,3,23999,12760,814,136,10289,0,9998.46
716359404,1,23,3.78,41,79,0,10,4000,1000,600,3.3,10000,4,3,23999,9681,449,77,13792,0,9998.46
716359404,1,23,3.78,41,79,0,10,5000,1000,600,3.3,10000,4,3,23999,8114,220,46,15619,0,9998.46
716359404,1,23,3.78,41,79,0,10,6000,1000,600,3.3,10000,4,3,24000,6850,215,33,16902,0,9998.46
716359404,1,23,3.78,41,79,0,10,8000,1000,600,3.3,10000,4,3,24000,5284,119,21,18576,0,9998.46
518024951,1,23,3.78,41,79,0,10,2000,1000,600,3.3,10000,4,3,24000,17556,1402,292,4750,0,9998.43
518024951,1,23,3.78,41,79,0,10,3000,1000,600,3.3,10000,4,3,24000,12352,1083,228,10337,0,9998.43
518024951,1,23,3.78,41,79,0,10,4000,1000,600,3.3,10000,4,3,24000,9524,517,110,13849,0,9998.43
518024951,1,23,3.78,41,79,0,10,5000,1000,600,3.3,10000,4,3,24000,7980,294,77,15649,0,9998.43
518024951,1,23,3.78,41,79,0,10,6000,1000,600,3.3,10000,4,3,24000,6873,255,54,16818,0,9998.43
518024951,1,23,3.78,41,79,0,10,8000,1000,600,3.3,10000,4,3,24000,5352,122,29,18497,0,9998.43
2314927680,1,23,3.78,41,79,0,5,2000,1000,600,3.3,10000,4,3,24000,19163,1499,250,3088,0,9998.36
2314927680,1,23,3.78,41,79,0,5,3000,1000,600,3.3,10000,4,3,23999,14642,4432,618,4307,0,9997.39
2314927680,1,23,3.78,41,79,0,5,4000,1000,600,3.3,10000,4,3,24000,11263,2823,309,9605,0,9997.01
2314927680,1,23,3.78,41,79,0,5,5000,1000,600,3.3,10000,4,3,24000,9436,1539,156,12869,0,9996.81
2314927680,1,23,3.78,41,79,0,5,6000,1000,600,3.3,10000,4,3,24000,8183,876,96,14845,0,9996.67
2314927680,1,23,3.78,41,79,0,5,8000,1000,600,3.3,10000,4,3,23999,6546,641,75,16737,0,9996.32
