Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
1,2000,200,600,3.3,10000,2400,2373,27,0,0,0,9999.81
1,4000,200,600,3.3,10000,2400,2373,27,0,0,0,9999.81
1,5000,200,600,3.3,10000,2400,1655,13,0,732,0,9999.81
1,6000,200,600,3.3,10000,2400,1210,2,0,1188,0,9999.81
1,8000,200,600,3.3,10000,2400,708,0,0,1692,0,9999.81
1,10000,200,600,3.3,10000,2400,468,0,0,1932,0,9999.81
1,12000,200,600,3.3,10000,2400,372,0,0,2028,0,9999.81
1,15000,200,600,3.3,10000,2400,228,0,0,2172,0,9999.81
2,2000,200,600,3.3,10000,2400,1923,468,9,0,0,9996.43
2,4000,200,600,3.3,10000,2400,1923,468,9,0,0,9996.43
2,5000,200,600,3.3,10000,2400,1923,468,9,0,0,9996.43
2,6000,200,600,3.3,10000,2400,1923,468,9,0,0,9996.43
2,8000,200,600,3.3,10000,2400,1923,468,9,0,0,9996.43
2,10000,200,600,3.3,10000,2400,1648,316,4,432,0,9996.43
2,12000,200,600,3.3,10000,2400,1240,152,0,1008,0,9996.43
2,15000,200,600,3.3,10000,2400,884,64,0,1452,0,9996.43
3,2000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.75
3,4000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.75
3,5000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.75
3,6000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.75
3,8000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.75
3,10000,200,600,3.3,10000,2400,612,0,0,1788,0,9998.75
3,12000,200,600,3.3,10000,2400,420,0,0,1980,0,9998.75
3,15000,200,600,3.3,10000,2400,228,0,0,2172,0,9998.75
6,2000,200,600,3.3,10000,2400,2373,27,0,0,0,9999.81
6,4000,200,600,3.3,10000,2400,2375,25,0,0,0,9999.69
6,5000,200,600,3.3,10000,2400,2372,28,0,0,0,9999.47
6,6000,200,600,3.3,10000,2400,2356,44,0,0,0,9998.87
6,8000,200,600,3.3,10000,2400,2259,141,0,0,0,9997.91
6,10000,200,600,3.3,10000,2400,1827,137,4,432,0,9997.37
6,12000,200,600,3.3,10000,2400,1323,69,0,1008,0,9997.1
6,15000,200,600,3.3,10000,2400,917,31,0,1452,0,9996.91
7,2000,200,600,3.3,10000,2400,2384,16,0,0,0,9999.47
7,4000,200,600,3.3,10000,2400,2370,30,0,0,0,9999.39
7,5000,200,600,3.3,10000,2400,2369,31,0,0,0,9999.21
7,6000,200,600,3.3,10000,2400,2202,54,0,144,0,9998.67
7,8000,200,600,3.3,10000,2400,1817,111,4,468,0,9997.8
7,10000,200,600,3.3,10000,2400,1525,116,3,756,0,9997.29
7,12000,200,600,3.3,10000,2400,1165,83,0,1152,0,9997.03
7,15000,200,600,3.3,10000,2400,797,31,0,1572,0,9996.84
8,2000,200,600,3.3,10000,2400,2191,204,5,0,0,9997.39
8,4000,200,600,3.3,10000,2400,2191,204,5,0,0,9997.38
8,5000,200,600,3.3,10000,2400,2191,204,5,0,0,9997.36
8,6000,200,600,3.3,10000,2400,2177,218,5,0,0,9997.23
8,8000,200,600,3.3,10000,2400,2095,298,7,0,0,9996.94
8,10000,200,600,3.3,10000,2400,1744,220,4,432,0,9996.77
8,12000,200,600,3.3,10000,2400,1283,109,0,1008,0,9996.68
8,15000,200,600,3.3,10000,2400,841,35,0,1524,0,9996.58
10,2000,200,600,3.3,10000,2400,2338,62,0,0,0,9998.46
10,4000,200,600,3.3,10000,2400,2338,62,0,0,0,9998.45
10,5000,200,600,3.3,10000,2400,2338,62,0,0,0,9998.42
10,6000,200,600,3.3,10000,2400,2307,93,0,0,0,9998.11
10,8000,200,600,3.3,10000,2400,2228,166,6,0,0,9997.47
10,10000,200,600,3.3,10000,2400,1693,116,3,588,0,9997.1
10,12000,200,600,3.3,10000,2400,1225,83,0,1092,0,9996.89
10,15000,200,600,3.3,10000,2400,797,31,0,1572,0,9996.74
12,2000,200,600,3.3,10000,2400,2334,66,0,0,0,9998.76
12,4000,200,600,3.3,10000,2400,2330,70,0,0,0,9998.74
12,5000,200,600,3.3,10000,2400,2322,78,0,0,0,9998.64
12,6000,200,600,3.3,10000,2400,2298,102,0,0,0,9998.24
12,8000,200,600,3.3,10000,2400,2202,192,6,0,0,9997.54
12,10000,200,600,3.3,10000,2400,1537,116,3,744,0,9997.15
12,12000,200,600,3.3,10000,2400,1177,83,0,1140,0,9996.92
12,15000,200,600,3.3,10000,2400,797,31,0,1572,0,9996.75
13,2000,200,600,3.3,10000,2400,2368,32,0,0,0,9999.22
13,4000,200,600,3.3,10000,2400,2364,36,0,0,0,9999.19
13,5000,200,600,3.3,10000,2400,2354,46,0,0,0,9999.08
13,6000,200,600,3.3,10000,2400,2331,69,0,0,0,9998.59
13,8000,200,600,3.3,10000,2400,2012,109,3,276,0,9997.76
13,10000,200,600,3.3,10000,2400,1526,115,3,756,0,9997.27
13,12000,200,600,3.3,10000,2400,1166,82,0,1152,0,9997.01
13,15000,200,600,3.3,10000,2400,798,30,0,1572,0,9996.83
