seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.907319,0.948448,0.914228,0.733250,0.734514,0.662042,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.64,0.0225417
861648815,3000,0.906564,0.938737,0.907774,0.722743,0.734574,0.663091,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.65,0.0225131
861648815,4000,0.834303,0.850480,0.825221,0.695079,0.734150,0.662106,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.64,0.022549
861648815,5000,0.786417,0.817911,0.792249,0.667994,0.733118,0.661596,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.65,0.0225312
861648815,6000,0.756496,0.787376,0.765083,0.639694,0.645993,0.645953,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.64,0.0225392
861648815,8000,0.711724,0.746256,0.716735,0.596446,0.580038,0.528774,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.65,0.0224979
716359404,2000,0.907142,0.947408,0.913392,0.741045,0.736596,0.662004,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.68,0.022409
716359404,3000,0.907095,0.939841,0.906914,0.729668,0.736796,0.662158,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.68,0.0224102
716359404,4000,0.841321,0.855653,0.830349,0.701899,0.736772,0.661387,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224141
716359404,5000,0.790049,0.820166,0.796040,0.675043,0.735577,0.662078,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224536
716359404,6000,0.762659,0.791973,0.771902,0.649592,0.661236,0.653012,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.68,0.0223976
716359404,8000,0.716406,0.749559,0.720237,0.605592,0.582180,0.536366,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224225
518024951,2000,0.906782,0.947496,0.912570,0.737760,0.734894,0.662446,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224334
518024951,3000,0.906891,0.939522,0.906830,0.727075,0.734973,0.662607,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224161
518024951,4000,0.836472,0.853252,0.827842,0.698689,0.735142,0.661675,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224518
518024951,5000,0.786936,0.818077,0.793379,0.672342,0.734293,0.662730,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224249
518024951,6000,0.762575,0.791482,0.770233,0.645980,0.657229,0.645297,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224207
518024951,8000,0.714958,0.748444,0.719411,0.601565,0.581033,0.531514,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.67,0.0224369
652227427,2000,0.906385,0.947161,0.913952,0.734599,0.735555,0.661822,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.65,0.0225065
652227427,3000,0.905745,0.937172,0.906356,0.723483,0.735286,0.661577,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.66,0.0224924
652227427,4000,0.834888,0.851360,0.826188,0.696953,0.736034,0.662235,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.66,0.0224823
652227427,5000,0.785858,0.816569,0.792888,0.668380,0.732883,0.661750,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.65,0.0225084
652227427,6000,0.757783,0.789428,0.767790,0.641600,0.647886,0.647910,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.66,0.0224764
652227427,8000,0.714624,0.746867,0.717827,0.597742,0.582351,0.534236,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.66,0.0224604
