seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.945172,0.948497,0.939883,0.853990,0.865025,0.829163,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.88,0.0216812
861648815,3000,0.857984,0.845221,0.850494,0.787980,0.864619,0.828493,20.000000,16.000000,16.000000,15.000000,20.000000,9.000000,9995.24,0.0250332
861648815,4000,0.686179,0.635577,0.640383,0.694734,0.779754,0.777899,8.000000,11.000000,9.000000,15.000000,30.000000,23.000000,9994.02,0.0314782
861648815,5000,0.563264,0.555886,0.552901,0.608987,0.708600,0.666434,8.000000,11.000000,9.000000,15.000000,42.000000,11.000000,9994.2,0.0305127
861648815,6000,0.487056,0.474954,0.490075,0.539536,0.565694,0.612064,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.76,0.0328204
861648815,8000,0.357540,0.353228,0.350338,0.420297,0.392067,0.396508,8.000000,11.000000,9.000000,47.000000,12.000000,9.000000,9994.24,0.0303087
716359404,2000,0.946670,0.944808,0.937857,0.857911,0.873044,0.821393,9.000000,44.000000,9.000000,15.000000,10.000000,9.000000,9995.89,0.021624
716359404,3000,0.862977,0.846423,0.838340,0.786236,0.867549,0.820293,24.000000,16.000000,10.000000,15.000000,22.000000,9.000000,9995.18,0.0253665
716359404,4000,0.704310,0.651396,0.651360,0.699934,0.770176,0.765356,8.000000,11.000000,9.000000,15.000000,39.000000,14.000000,9994.17,0.0306559
716359404,5000,0.572318,0.563127,0.559367,0.611364,0.714637,0.666902,8.000000,11.000000,9.000000,15.000000,43.000000,10.000000,9994.24,0.0302816
716359404,6000,0.496497,0.483822,0.496292,0.541783,0.600051,0.621207,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.78,0.0327402
716359404,8000,0.374592,0.362377,0.364157,0.427486,0.403840,0.402431,8.000000,11.000000,9.000000,47.000000,12.000000,9.000000,9994.26,0.0301851
518024951,2000,0.945819,0.947825,0.936724,0.849241,0.865379,0.825475,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9995.89,0.0216085
518024951,3000,0.857637,0.853006,0.854421,0.784793,0.860319,0.824288,23.000000,18.000000,15.000000,15.000000,16.000000,9.000000,9995.42,0.0241082
518024951,4000,0.692348,0.637760,0.643042,0.695141,0.774147,0.775236,8.000000,11.000000,9.000000,15.000000,33.000000,20.000000,9994.07,0.031208
518024951,5000,0.564743,0.560736,0.555923,0.611841,0.712177,0.660722,8.000000,11.000000,9.000000,15.000000,43.000000,10.000000,9994.24,0.0303155
518024951,6000,0.498341,0.486328,0.496073,0.538979,0.591708,0.620634,8.000000,11.000000,9.000000,15.000000,13.000000,40.000000,9993.77,0.032751
518024951,8000,0.370936,0.359620,0.364557,0.431206,0.395868,0.404587,8.000000,11.000000,9.000000,47.000000,12.000000,9.000000,9994.24,0.0302826
