RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinalcurrenthora
2314927680,1,1,2000,1000,600,3.3,10000,4,9,24000,23154,798,48,0,0,9999.258652,0.015601
2314927680,1,1,3000,1000,600,3.3,10000,4,9,24000,23154,798,48,0,0,9999.258591,0.015602
2314927680,1,1,4000,1000,600,3.3,10000,4,9,24000,23154,798,48,0,0,9999.258585,0.015602
2314927680,1,1,5000,1000,600,3.3,10000,4,9,24000,21251,700,48,2001,0,9999.258752,0.015599
2314927680,1,1,6000,1000,600,3.3,10000,4,9,24000,18414,545,45,4996,0,9999.258742,0.015599
2314927680,1,1,8000,1000,600,3.3,10000,4,9,24000,14403,430,41,9126,0,9999.258752,0.015599
861648815,1,1,2000,1000,600,3.3,10000,4,9,24000,23242,695,63,0,0,9999.258518,0.015604
861648815,1,1,3000,1000,600,3.3,10000,4,9,24000,23242,695,63,0,0,9999.258619,0.015601
861648815,1,1,4000,1000,600,3.3,10000,4,9,24000,23242,695,63,0,0,9999.257604,0.015623
861648815,1,1,5000,1000,600,3.3,10000,4,9,24000,21381,602,59,1958,0,9999.258006,0.015614
861648815,1,1,6000,1000,600,3.3,10000,4,9,24000,18379,523,55,5043,0,9999.258569,0.015603
861648815,1,1,8000,1000,600,3.3,10000,4,9,24000,14671,409,51,8869,0,9999.258569,0.015603
716359404,1,1,2000,1000,600,3.3,10000,4,9,24000,23284,685,31,0,0,9999.258387,0.015606
716359404,1,1,3000,1000,600,3.3,10000,4,9,24000,23284,685,31,0,0,9999.258450,0.015605
716359404,1,1,4000,1000,600,3.3,10000,4,9,24000,23284,685,31,0,0,9999.258197,0.015610
716359404,1,1,5000,1000,600,3.3,10000,4,9,24000,21439,571,30,1960,0,9999.258474,0.015605
716359404,1,1,6000,1000,600,3.3,10000,4,9,24000,18326,438,29,5207,0,9999.258474,0.015605
716359404,1,1,8000,1000,600,3.3,10000,4,9,24000,14556,342,28,9074,0,9999.258474,0.015605
518024951,1,1,2000,1000,600,3.3,10000,4,9,23999,23244,695,60,0,0,9999.258454,0.015605
518024951,1,1,3000,1000,600,3.3,10000,4,9,23999,23244,695,60,0,0,9999.258428,0.015605
518024951,1,1,4000,1000,600,3.3,10000,4,9,23999,23244,695,60,0,0,9999.258631,0.015601
518024951,1,1,5000,1000,600,3.3,10000,4,9,23999,21438,612,60,1889,0,9999.258644,0.015601
518024951,1,1,6000,1000,600,3.3,10000,4,9,23999,18201,478,56,5264,0,9999.258646,0.015601
518024951,1,1,8000,1000,600,3.3,10000,4,9,23999,14430,385,46,9138,0,9999.258646,0.015601
652227427,1,1,2000,1000,600,3.3,10000,4,9,24000,23289,648,63,0,0,9999.258665,0.015600
652227427,1,1,3000,1000,600,3.3,10000,4,9,24000,23289,648,63,0,0,9999.258627,0.015601
652227427,1,1,4000,1000,600,3.3,10000,4,9,24000,23289,648,63,0,0,9999.258615,0.015602
652227427,1,1,5000,1000,600,3.3,10000,4,9,24000,21295,559,61,2085,0,9999.258673,0.015600
652227427,1,1,6000,1000,600,3.3,10000,4,9,24000,18141,400,54,5405,0,9999.258789,0.015598
652227427,1,1,8000,1000,600,3.3,10000,4,9,24000,14624,288,47,9041,0,9999.258577,0.015602
2447348191,1,1,2000,1000,600,3.3,10000,4,9,24000,23169,771,60,0,0,9999.258624,0.015601
2447348191,1,1,3000,1000,600,3.3,10000,4,9,24000,23169,771,60,0,0,9999.258743,0.015599
2447348191,1,1,4000,1000,600,3.3,10000,4,9,24000,23169,771,60,0,0,9999.258775,0.015598
2447348191,1,1,5000,1000,600,3.3,10000,4,9,24000,21352,693,59,1896,0,9999.258782,0.015598
2447348191,1,1,6000,1000,600,3.3,10000,4,9,24000,18316,585,55,5044,0,9999.258782,0.015598
2447348191,1,1,8000,1000,600,3.3,10000,4,9,24000,14546,473,48,8933,0,9999.258782,0.015598
2314927680,1,3,2000,1000,600,3.3,10000,4,9,24000,23289,670,41,0,0,9999.294181,0.014853
2314927680,1,3,3000,1000,600,3.3,10000,4,9,24000,23289,670,41,0,0,9999.294235,0.014852
2314927680,1,3,4000,1000,600,3.3,10000,4,9,24000,23289,670,41,0,0,9999.294354,0.014849
2314927680,1,3,5000,1000,600,3.3,10000,4,9,24000,21576,593,40,1791,0,9999.294354,0.014849
2314927680,1,3,6000,1000,600,3.3,10000,4,9,24000,18713,456,37,4794,0,9999.294344,0.014850
2314927680,1,3,8000,1000,600,3.3,10000,4,9,24000,14153,341,33,9473,0,9999.294354,0.014849
861648815,1,3,2000,1000,600,3.3,10000,4,9,24000,23314,633,53,0,0,9999.294154,0.014854
861648815,1,3,3000,1000,600,3.3,10000,4,9,24000,23314,633,53,0,0,9999.294221,0.014852
861648815,1,3,4000,1000,600,3.3,10000,4,9,24000,23314,633,53,0,0,9999.293439,0.014869
861648815,1,3,5000,1000,600,3.3,10000,4,9,24000,21608,549,51,1792,0,9999.293593,0.014865
861648815,1,3,6000,1000,600,3.3,10000,4,9,24000,18675,480,47,4798,0,9999.294171,0.014853
861648815,1,3,8000,1000,600,3.3,10000,4,9,24000,14379,359,42,9220,0,9999.294171,0.014853
716359404,1,3,2000,1000,600,3.3,10000,4,9,24000,23304,667,29,0,0,9999.294050,0.014856
716359404,1,3,3000,1000,600,3.3,10000,4,9,24000,23304,667,29,0,0,9999.294092,0.014855
716359404,1,3,4000,1000,600,3.3,10000,4,9,24000,23304,667,29,0,0,9999.294114,0.014855
716359404,1,3,5000,1000,600,3.3,10000,4,9,24000,21619,584,29,1768,0,9999.294109,0.014855
716359404,1,3,6000,1000,600,3.3,10000,4,9,24000,18519,455,28,4998,0,9999.294114,0.014855
716359404,1,3,8000,1000,600,3.3,10000,4,9,24000,14247,334,23,9396,0,9999.294114,0.014855
518024951,1,3,2000,1000,600,3.3,10000,4,9,23999,23307,634,58,0,0,9999.294101,0.014855
518024951,1,3,3000,1000,600,3.3,10000,4,9,23999,23307,634,58,0,0,9999.294075,0.014855
518024951,1,3,4000,1000,600,3.3,10000,4,9,23999,23307,634,58,0,0,9999.294278,0.014851
518024951,1,3,5000,1000,600,3.3,10000,4,9,23999,21629,561,58,1751,0,9999.294291,0.014851
518024951,1,3,6000,1000,600,3.3,10000,4,9,23999,18442,434,54,5069,0,9999.294293,0.014851
518024951,1,3,8000,1000,600,3.3,10000,4,9,23999,14220,333,44,9402,0,9999.294293,0.014851
652227427,1,3,2000,1000,600,3.3,10000,4,9,24000,23301,644,55,0,0,9999.294305,0.014850
652227427,1,3,3000,1000,600,3.3,10000,4,9,24000,23301,644,55,0,0,9999.294395,0.014849
652227427,1,3,4000,1000,600,3.3,10000,4,9,24000,23301,644,55,0,0,9999.294250,0.014852
652227427,1,3,5000,1000,600,3.3,10000,4,9,24000,21417,564,53,1966,0,9999.294277,0.014851
652227427,1,3,6000,1000,600,3.3,10000,4,9,24000,18369,400,46,5185,0,9999.294414,0.014848
652227427,1,3,8000,1000,600,3.3,10000,4,9,24000,14301,297,37,9365,0,9999.294201,0.014853
2447348191,1,3,2000,1000,600,3.3,10000,4,9,24000,23248,700,52,0,0,9999.294194,0.014853
2447348191,1,3,3000,1000,600,3.3,10000,4,9,24000,23248,700,52,0,0,9999.294357,0.014849
2447348191,1,3,4000,1000,600,3.3,10000,4,9,24000,23248,700,52,0,0,9999.294389,0.014849
2447348191,1,3,5000,1000,600,3.3,10000,4,9,24000,21554,637,51,1758,0,9999.294397,0.014849
2447348191,1,3,6000,1000,600,3.3,10000,4,9,24000,18570,539,47,4844,0,9999.294397,0.014849
2447348191,1,3,8000,1000,600,3.3,10000,4,9,24000,14309,416,40,9235,0,9999.294397,0.014849
2314927680,1,6,2000,1000,600,3.3,10000,4,9,24000,21080,2526,394,0,0,9998.010841,0.041859
2314927680,1,6,3000,1000,600,3.3,10000,4,9,24000,21080,2526,394,0,0,9998.010489,0.041867
2314927680,1,6,4000,1000,600,3.3,10000,4,9,24000,21080,2526,394,0,0,9998.009686,0.041884
2314927680,1,6,5000,1000,600,3.3,10000,4,9,24000,20954,2526,394,126,0,9998.007802,0.041923
2314927680,1,6,6000,1000,600,3.3,10000,4,9,24000,20504,2521,392,583,0,9998.007752,0.041924
2314927680,1,6,8000,1000,600,3.3,10000,4,9,24000,18819,2435,379,2367,0,9998.008288,0.041913
861648815,1,6,2000,1000,600,3.3,10000,4,9,23999,21492,2080,427,0,0,9998.010840,0.041859
861648815,1,6,3000,1000,600,3.3,10000,4,9,23999,21492,2080,427,0,0,9998.010701,0.041862
