seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.969125,0.975111,0.973556,0.930200,0.912900,0.880222,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197213
861648815,3000,0.969000,0.975111,0.973556,0.930200,0.912800,0.880000,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197204
861648815,4000,0.969000,0.975111,0.973556,0.930200,0.912800,0.879778,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197226
861648815,5000,0.969000,0.972667,0.953333,0.904467,0.912800,0.879778,8.000000,45.000000,9.000000,15.000000,10.000000,9.000000,9996.25,0.0197214
861648815,6000,0.882625,0.839455,0.926650,0.845067,0.914385,0.879778,8.000000,11.000000,40.000000,15.000000,13.000000,9.000000,9995.89,0.0216302
861648815,8000,0.516000,0.409182,0.455778,0.705067,0.914409,0.879889,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9994.75,0.027606
716359404,2000,0.969865,0.968545,0.968643,0.930067,0.924200,0.868556,37.000000,11.000000,14.000000,15.000000,10.000000,9.000000,9995.98,0.0211658
716359404,3000,0.969757,0.968545,0.968643,0.930067,0.924200,0.868556,37.000000,11.000000,14.000000,15.000000,10.000000,9.000000,9995.98,0.0211667
716359404,4000,0.969757,0.968545,0.968643,0.930067,0.924200,0.868556,37.000000,11.000000,14.000000,15.000000,10.000000,9.000000,9995.98,0.0211689
716359404,5000,0.966024,0.969167,0.948111,0.902000,0.924200,0.868556,41.000000,12.000000,9.000000,15.000000,10.000000,9.000000,9995.98,0.02116
716359404,6000,0.904000,0.857091,0.931886,0.846267,0.924333,0.868556,8.000000,11.000000,35.000000,15.000000,18.000000,9.000000,9995.72,0.0224971
716359404,8000,0.551500,0.427727,0.471222,0.706067,0.914205,0.868556,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9994.77,0.0275079
518024951,2000,0.967700,0.970250,0.969031,0.923600,0.911200,0.875556,10.000000,20.000000,32.000000,15.000000,10.000000,9.000000,9996.07,0.0206639
518024951,3000,0.967700,0.970250,0.969031,0.923600,0.911200,0.875333,10.000000,20.000000,32.000000,15.000000,10.000000,9.000000,9996.07,0.0206636
518024951,4000,0.967700,0.970250,0.969031,0.923600,0.911200,0.875333,10.000000,20.000000,32.000000,15.000000,10.000000,9.000000,9996.07,0.0206666
518024951,5000,0.968545,0.966688,0.960316,0.894533,0.911100,0.875333,11.000000,32.000000,19.000000,15.000000,10.000000,9.000000,9996.16,0.0202058
518024951,6000,0.898875,0.852455,0.927366,0.834067,0.911667,0.875333,8.000000,11.000000,41.000000,15.000000,12.000000,9.000000,9995.93,0.0213927
518024951,8000,0.536375,0.416000,0.468556,0.702667,0.910545,0.875333,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9994.76,0.0275562
652227427,2000,0.968500,0.970341,0.969364,0.927067,0.918700,0.872556,10.000000,41.000000,11.000000,15.000000,10.000000,9.000000,9996.23,0.0198566
652227427,3000,0.968500,0.970341,0.969364,0.926933,0.918600,0.872556,10.000000,41.000000,11.000000,15.000000,10.000000,9.000000,9996.23,0.0198574
652227427,4000,0.968500,0.970341,0.969364,0.926933,0.918600,0.872556,10.000000,41.000000,11.000000,15.000000,10.000000,9.000000,9996.22,0.0198613
652227427,5000,0.969182,0.967400,0.950455,0.900067,0.918600,0.872556,11.000000,40.000000,11.000000,15.000000,10.000000,9.000000,9996.22,0.0199076
652227427,6000,0.886250,0.840000,0.925439,0.842733,0.918083,0.872556,8.000000,11.000000,41.000000,15.000000,12.000000,9.000000,9995.93,0.0214022
652227427,8000,0.529125,0.410909,0.465444,0.701667,0.910705,0.873000,8.000000,11.000000,9.000000,15.000000,44.000000,9.000000,9994.76,0.0275693
