packetSize,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
20,1,2000,1000,600,3.3,10000,12000,11467,530,3,0,0,9999.82
20,1,4000,1000,600,3.3,10000,12000,11467,530,3,0,0,9999.82
20,1,5000,1000,600,3.3,10000,12000,7991,276,2,3731,0,9999.82
20,1,6000,1000,600,3.3,10000,12000,5800,152,1,6047,0,9999.82
20,1,8000,1000,600,3.3,10000,12000,3212,64,1,8723,0,9999.82
20,1,10000,1000,600,3.3,10000,12000,2038,26,1,9935,0,9999.82
20,1,12000,1000,600,3.3,10000,12000,1423,17,1,10559,0,9999.82
20,1,15000,1000,600,3.3,10000,12000,814,14,1,11171,0,9999.82
20,2,2000,1000,600,3.3,10000,12000,4752,6304,944,0,0,9996.78
20,2,4000,1000,600,3.3,10000,12000,4753,6303,944,0,0,9996.78
20,2,5000,1000,600,3.3,10000,12000,4753,6303,944,0,0,9996.78
20,2,6000,1000,600,3.3,10000,12000,4753,6303,944,0,0,9996.78
20,2,8000,1000,600,3.3,10000,12000,4753,6303,944,0,0,9996.78
20,2,10000,1000,600,3.3,10000,12000,4303,4989,633,2075,0,9996.78
20,2,12000,1000,600,3.3,10000,12000,3518,3057,335,5090,0,9996.78
20,2,15000,1000,600,3.3,10000,12000,2771,1595,176,7458,0,9996.78
20,3,2000,1000,600,3.3,10000,12000,11087,772,141,0,0,9998.84
20,3,4000,1000,600,3.3,10000,12000,11087,772,141,0,0,9998.84
20,3,5000,1000,600,3.3,10000,12000,11087,772,141,0,0,9998.84
20,3,6000,1000,600,3.3,10000,12000,11087,772,141,0,0,9998.84
20,3,8000,1000,600,3.3,10000,12000,11087,772,141,0,0,9998.84
20,3,10000,1000,600,3.3,10000,12000,2750,22,1,9227,0,9998.84
20,3,12000,1000,600,3.3,10000,12000,1426,14,1,10559,0,9998.84
20,3,15000,1000,600,3.3,10000,12000,814,14,1,11171,0,9998.84
20,6,2000,1000,600,3.3,10000,12000,11467,530,3,0,0,9999.82
20,6,4000,1000,600,3.3,10000,12000,11619,376,5,0,0,9999.71
20,6,5000,1000,600,3.3,10000,12000,11458,525,17,0,0,9999.5
20,6,6000,1000,600,3.3,10000,12000,11218,681,101,0,0,9998.97
20,6,8000,1000,600,3.3,10000,12000,8983,2646,371,0,0,9998.04
20,6,10000,1000,600,3.3,10000,12000,6702,2858,295,2145,0,9997.57
