seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.906797,0.948352,0.913744,0.731702,0.732097,0.660657,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215468
861648815,3000,0.905647,0.941034,0.909087,0.724945,0.732826,0.659867,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.021569
861648815,4000,0.858590,0.883664,0.855969,0.706522,0.732648,0.660959,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215342
861648815,5000,0.824904,0.860185,0.830866,0.686443,0.731252,0.660980,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215436
861648815,6000,0.798485,0.829497,0.808403,0.662010,0.672873,0.650070,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215511
861648815,8000,0.738680,0.765647,0.737701,0.622240,0.631492,0.574568,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215292
716359404,2000,0.906833,0.946773,0.912863,0.738958,0.735457,0.659644,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.021426
716359404,3000,0.906626,0.941592,0.908408,0.731659,0.735470,0.660194,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214304
716359404,4000,0.861854,0.885286,0.856987,0.713161,0.735517,0.660152,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214296
716359404,5000,0.829032,0.861762,0.832968,0.692618,0.734891,0.659974,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.9,0.0214598
716359404,6000,0.805918,0.834704,0.812417,0.669962,0.683758,0.653149,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.021416
716359404,8000,0.746170,0.770013,0.743198,0.630010,0.633164,0.579029,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214236
518024951,2000,0.906291,0.947120,0.912442,0.736178,0.733138,0.660648,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214406
518024951,3000,0.906130,0.942064,0.908078,0.728585,0.733510,0.660410,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.9,0.0214447
518024951,4000,0.859122,0.884491,0.855411,0.710843,0.733799,0.661105,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.021436
518024951,5000,0.827534,0.862034,0.832843,0.690285,0.733013,0.660879,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.9,0.0214621
518024951,6000,0.803431,0.832253,0.810606,0.666565,0.681565,0.649355,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.9,0.0214476
518024951,8000,0.742253,0.768463,0.742326,0.627938,0.632893,0.578249,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.91,0.0214255
652227427,2000,0.905592,0.946674,0.912956,0.733128,0.734103,0.660722,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0214986
652227427,3000,0.905288,0.940528,0.908126,0.725268,0.733890,0.660353,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0215238
652227427,4000,0.858513,0.883171,0.854937,0.707232,0.734045,0.660060,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0215252
652227427,5000,0.825702,0.859954,0.830983,0.686857,0.732260,0.659762,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0215264
652227427,6000,0.801777,0.832777,0.811084,0.664321,0.676653,0.653271,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0215022
652227427,8000,0.740436,0.766151,0.740073,0.623016,0.632147,0.575669,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9994.88,0.0215314
