RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.48,8.1,0,6,1000,1,300,3.3,10000,12,3,144,144,0,0,0,0,9998.64
2314927680,1,23,3.48,8.1,0,6,2000,1,300,3.3,10000,12,3,144,144,0,0,0,0,9998.64
2314927680,1,23,3.48,8.1,0,6,3000,1,300,3.3,10000,12,3,144,144,0,0,0,0,9997.67
2314927680,1,23,3.48,8.1,0,6,4000,1,300,3.3,10000,12,3,144,144,0,0,0,0,9992.64
2314927680,1,23,3.48,8.1,0,6,5000,1,300,3.3,10000,12,3,144,144,0,0,0,0,9986.8
2314927680,1,23,3.48,8.1,0,6,1000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9997.28
2314927680,1,23,3.48,8.1,0,6,2000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9997.28
2314927680,1,23,3.48,8.1,0,6,3000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9995.33
2314927680,1,23,3.48,8.1,0,6,4000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9985.28
2314927680,1,23,3.48,8.1,0,6,5000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9973.6
2314927680,1,23,3.48,8.1,0,6,6000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9947.66
2314927680,1,23,3.48,8.1,0,6,8000,1,300,3.3,10000,24,3,288,288,0,0,0,0,9947.66
2314927680,1,23,3.48,8.1,0,6,1000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9997.06
2314927680,1,23,3.48,8.1,0,6,2000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9997.06
2314927680,1,23,3.48,8.1,0,6,3000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9997.06
2314927680,1,23,3.48,8.1,0,6,4000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9991.03
2314927680,1,23,3.48,8.1,0,6,5000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9983.93
2314927680,1,23,3.48,8.1,0,6,6000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9971.14
2314927680,1,23,3.48,8.1,0,6,8000,1,300,3.3,10000,24,6,288,288,0,0,0,0,9942.74
2314927680,1,23,3.48,8.1,0,6,1000,1,300,3.3,10000,24,9,288,288,0,0,0,0,9996.79
2314927680,1,23,3.48,8.1,0,6,2000,1,300,3.3,10000,24,9,288,288,0,0,0,0,9996.79
2314927680,1,23,3.48,8.1,0,6,3000,1,300,3.3,10000,24,9,288,288,0,0,0,0,9996.79
2314927680,1,23,3.48,8.1,0,6,4000,1,300,3.3,10000,24,9,288,288,0,0,0,0,9994.43
