seed,radius,Q1,Q2,Q3,Q4,Q5,Q6,N1,N2,N3,N4,N5,N6,batteryEnergyFinalposMAB,currentposMAB
861648815,2000,0.919488,0.940243,0.933356,0.795402,0.803269,0.755219,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.12,0.0205287
861648815,3000,0.855851,0.858723,0.854540,0.755535,0.799461,0.752399,14.000000,54.000000,11.000000,17.000000,10.000000,14.000000,9995.09,0.0206572
861648815,4000,0.785553,0.784982,0.778246,0.715801,0.745215,0.709414,35.000000,33.000000,11.000000,17.000000,10.000000,14.000000,9994.89,0.0214904
861648815,5000,0.745811,0.758130,0.747615,0.672201,0.747422,0.643982,10.000000,50.000000,11.000000,17.000000,18.000000,14.000000,9994.73,0.0221844
861648815,6000,0.698899,0.708700,0.715389,0.630132,0.650286,0.623806,10.000000,15.000000,54.000000,17.000000,10.000000,14.000000,9994.8,0.0218983
861648815,8000,0.592159,0.594032,0.582223,0.567500,0.601014,0.564589,10.000000,37.000000,11.000000,17.000000,31.000000,14.000000,9994.19,0.024457
716359404,2000,0.923350,0.943597,0.934032,0.801468,0.809358,0.752615,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.15,0.0204248
716359404,3000,0.858690,0.858761,0.851600,0.763719,0.805431,0.750056,14.000000,54.000000,11.000000,17.000000,10.000000,14.000000,9995.12,0.0205451
716359404,4000,0.784757,0.783894,0.775668,0.719504,0.756131,0.719450,38.000000,30.000000,11.000000,17.000000,10.000000,14.000000,9994.9,0.0214696
716359404,5000,0.748663,0.753915,0.743870,0.676842,0.749299,0.638234,10.000000,49.000000,11.000000,17.000000,19.000000,14.000000,9994.73,0.0221711
716359404,6000,0.706889,0.715525,0.717433,0.639730,0.663534,0.623606,11.000000,22.000000,45.000000,17.000000,10.000000,15.000000,9994.83,0.0217666
716359404,8000,0.597115,0.594267,0.577457,0.572307,0.598888,0.558921,33.000000,14.000000,11.000000,17.000000,31.000000,14.000000,9994,0.0252384
518024951,2000,0.922252,0.945497,0.936966,0.793467,0.805107,0.758309,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.14,0.0204398
518024951,3000,0.860321,0.862994,0.858198,0.759621,0.801019,0.754512,14.000000,54.000000,11.000000,17.000000,10.000000,14.000000,9995.11,0.020584
518024951,4000,0.788804,0.789280,0.782162,0.715733,0.752013,0.719425,39.000000,29.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0216027
518024951,5000,0.748611,0.757374,0.742749,0.675054,0.746917,0.651097,10.000000,49.000000,11.000000,17.000000,19.000000,14.000000,9994.71,0.0222594
518024951,6000,0.710172,0.718874,0.720930,0.633703,0.658492,0.626810,10.000000,20.000000,49.000000,17.000000,10.000000,14.000000,9994.86,0.0216436
518024951,8000,0.595850,0.593573,0.580978,0.571665,0.599587,0.562497,37.000000,13.000000,11.000000,17.000000,28.000000,14.000000,9994.08,0.0249123
652227427,2000,0.921307,0.943423,0.938127,0.797856,0.807461,0.752942,10.000000,58.000000,11.000000,17.000000,10.000000,14.000000,9995.14,0.0204557
652227427,3000,0.859757,0.861550,0.859473,0.758491,0.803914,0.749211,14.000000,54.000000,11.000000,17.000000,10.000000,14.000000,9995.11,0.0205957
652227427,4000,0.788937,0.789471,0.784200,0.719901,0.755644,0.710441,39.000000,29.000000,11.000000,17.000000,10.000000,14.000000,9994.87,0.0215919
652227427,5000,0.749910,0.757745,0.748999,0.678008,0.751862,0.639786,10.000000,50.000000,11.000000,17.000000,18.000000,14.000000,9994.75,0.0221137
652227427,6000,0.705882,0.718379,0.721382,0.638144,0.660890,0.621503,10.000000,17.000000,52.000000,17.000000,10.000000,14.000000,9994.82,0.0217882
652227427,8000,0.596639,0.595647,0.582461,0.566984,0.599225,0.559611,37.000000,16.000000,11.000000,17.000000,25.000000,14.000000,9994.23,0.024266
