RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,0,1,2000,1000,600,3.3,10000,4,6,24000,22851,744,77,328,0,9999.04
2314927680,1,23,0,1,3000,1000,600,3.3,10000,4,6,23998,19297,1717,325,2659,0,9998.14
2314927680,1,23,0,1,4000,1000,600,3.3,10000,4,6,23998,14473,5059,834,3632,0,9996.9
2314927680,1,23,0,1,5000,1000,600,3.3,10000,4,6,23997,11371,7517,1153,3956,0,9996.29
2314927680,1,23,0,1,6000,1000,600,3.3,10000,4,6,23999,8522,5985,763,8729,0,9995.94
2314927680,1,23,0,1,8000,1000,600,3.3,10000,4,6,23999,5633,3203,308,14855,0,9995.61
861648815,1,23,0,1,2000,1000,600,3.3,10000,4,6,23999,22843,791,74,291,0,9999.03
861648815,1,23,0,1,3000,1000,600,3.3,10000,4,6,23999,19132,1877,346,2644,0,9998.07
861648815,1,23,0,1,4000,1000,600,3.3,10000,4,6,23998,14085,5296,922,3695,0,9996.85
861648815,1,23,0,1,5000,1000,600,3.3,10000,4,6,23997,10802,7962,1217,4016,0,9996.26
861648815,1,23,0,1,6000,1000,600,3.3,10000,4,6,23998,8081,6080,725,9112,0,9995.95
861648815,1,23,0,1,8000,1000,600,3.3,10000,4,6,23999,5495,3203,318,14983,0,9995.64
716359404,1,23,0,1,2000,1000,600,3.3,10000,4,6,23998,22773,819,109,297,0,9999.04
716359404,1,23,0,1,3000,1000,600,3.3,10000,4,6,23998,19191,1825,320,2662,0,9998.13
716359404,1,23,0,1,4000,1000,600,3.3,10000,4,6,23998,14432,5031,861,3674,0,9996.87
716359404,1,23,0,1,5000,1000,600,3.3,10000,4,6,23998,10897,7990,1191,3920,0,9996.24
716359404,1,23,0,1,6000,1000,600,3.3,10000,4,6,23998,8166,6136,752,8944,0,9995.9
716359404,1,23,0,1,8000,1000,600,3.3,10000,4,6,23998,5485,3313,328,14872,0,9995.54
518024951,1,23,0,1,2000,1000,600,3.3,10000,4,6,24000,22802,781,81,336,0,9999.03
518024951,1,23,0,1,3000,1000,600,3.3,10000,4,6,24000,19070,1956,308,2666,0,9998.13
518024951,1,23,0,1,4000,1000,600,3.3,10000,4,6,23999,14027,5318,870,3784,0,9996.85
518024951,1,23,0,1,5000,1000,600,3.3,10000,4,6,23998,10895,7956,1103,4044,0,9996.27
518024951,1,23,0,1,6000,1000,600,3.3,10000,4,6,23998,8050,6201,683,9064,0,9995.94
518024951,1,23,0,1,8000,1000,600,3.3,10000,4,6,23999,5357,3300,269,15073,0,9995.58
652227427,1,23,0,1,2000,1000,600,3.3,10000,4,6,23999,23076,541,61,321,0,9999.03
652227427,1,23,0,1,3000,1000,600,3.3,10000,4,6,23999,19481,1680,315,2523,0,9998.1
652227427,1,23,0,1,4000,1000,600,3.3,10000,4,6,23999,14482,5151,847,3519,0,9996.84
652227427,1,23,0,1,5000,1000,600,3.3,10000,4,6,23999,10760,8296,1215,3728,0,9996.19
652227427,1,23,0,1,6000,1000,600,3.3,10000,4,6,23999,8054,6410,772,8763,0,9995.87
652227427,1,23,0,1,8000,1000,600,3.3,10000,4,6,24000,5453,3298,307,14942,0,9995.58
2447348191,1,23,0,1,2000,1000,600,3.3,10000,4,6,24000,22847,749,64,340,0,9999.02
2447348191,1,23,0,1,3000,1000,600,3.3,10000,4,6,24000,19205,1861,331,2603,0,9998.09
2447348191,1,23,0,1,4000,1000,600,3.3,10000,4,6,23999,14109,5300,947,3643,0,9996.85
2447348191,1,23,0,1,5000,1000,600,3.3,10000,4,6,23999,10981,7896,1260,3862,0,9996.25
2447348191,1,23,0,1,6000,1000,600,3.3,10000,4,6,24000,8166,6112,833,8889,0,9995.9
2447348191,1,23,0,1,8000,1000,600,3.3,10000,4,6,24000,5518,3185,352,14945,0,9995.59
4276470015,1,23,0,1,2000,1000,600,3.3,10000,4,6,24000,22760,819,70,351,0,9999.05
4276470015,1,23,0,1,3000,1000,600,3.3,10000,4,6,24000,19078,1938,294,2690,0,9998.17
4276470015,1,23,0,1,4000,1000,600,3.3,10000,4,6,24000,14199,5327,876,3598,0,9996.86
4276470015,1,23,0,1,5000,1000,600,3.3,10000,4,6,24000,11093,7833,1125,3949,0,9996.26
4276470015,1,23,0,1,6000,1000,600,3.3,10000,4,6,23999,8172,6252,714,8861,0,9995.89
4276470015,1,23,0,1,8000,1000,600,3.3,10000,4,6,23999,5421,3239,281,15058,0,9995.59
2314927680,1,23,0,2,2000,1000,600,3.3,10000,4,6,24000,22424,679,38,859,0,9999.23
2314927680,1,23,0,2,3000,1000,600,3.3,10000,4,6,24000,13700,328,27,9945,0,9999.23
2314927680,1,23,0,2,4000,1000,600,3.3,10000,4,6,24000,9089,188,13,14710,0,9999.23
2314927680,1,23,0,2,5000,1000,600,3.3,10000,4,6,24000,6303,120,6,17571,0,9999.23
2314927680,1,23,0,2,6000,1000,600,3.3,10000,4,6,24000,4397,59,1,19543,0,9999.23
2314927680,1,23,0,2,8000,1000,600,3.3,10000,4,6,24000,2502,10,0,21488,0,9999.23
861648815,1,23,0,2,2000,1000,600,3.3,10000,4,6,23999,22254,859,38,848,0,9999.23
861648815,1,23,0,2,3000,1000,600,3.3,10000,4,6,23999,13633,331,24,10011,0,9999.23
