RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
131948003,1,3,3000,6000,600,600,5998,4829,806,363,0,0,2.6
131948003,1,4,3000,3000,600,600,3000,2643,349,8,0,0,0.6
131948003,1,4,3000,1000,600,600,1000,971,28,1,0,0,0.05
131948003,1,4,3000,2000,600,600,2000,1809,190,1,0,0,0.25
131948003,1,4,3000,4000,600,600,4000,3425,561,14,0,0,1.11667
131948003,1,4,3000,5000,600,600,4997,4034,945,18,0,0,1.8
131948003,1,4,3000,6000,600,600,5999,4676,1282,41,0,0,2.61667
131948003,1,5,3000,3000,600,600,2999,2726,211,62,0,0,0.566667
131948003,1,5,3000,1000,600,600,1000,980,18,2,0,0,0.0666667
131948003,1,5,3000,2000,600,600,2000,1873,117,10,0,0,0.25
131948003,1,5,3000,4000,600,600,3997,3541,346,110,0,0,1.06667
131948003,1,5,3000,5000,600,600,4996,4212,566,218,0,0,1.75
131948003,1,5,3000,6000,600,600,5998,4830,799,369,0,0,2.56667
131948003,1,6,3000,3000,600,600,3000,2281,432,287,0,0,0.616667
131948003,1,6,3000,1000,600,600,998,919,70,9,0,0,0.0666667
131948003,1,6,3000,2000,600,600,1995,1687,228,80,0,0,0.233333
131948003,1,6,3000,4000,600,600,3999,2716,699,584,0,0,1.06667
131948003,1,6,3000,5000,600,600,4997,3037,990,970,0,0,1.76667
131948003,1,6,3000,6000,600,600,5997,3348,1189,1460,0,0,2.56667
131948003,1,7,3000,3000,600,600,2997,2292,422,283,0,0,0.6
131948003,1,7,3000,1000,600,600,999,926,61,12,0,0,0.0666667
131948003,1,7,3000,2000,600,600,1999,1683,226,90,0,0,0.25
131948003,1,7,3000,4000,600,600,3998,2763,674,561,0,0,1.1
131948003,1,7,3000,5000,600,600,4994,3083,923,988,0,0,1.73333
131948003,1,7,3000,6000,600,600,5996,3318,1224,1454,0,0,2.61667
131948003,1,8,3000,3000,600,600,2997,2292,422,283,0,0,0.566667
131948003,1,8,3000,1000,600,600,999,926,61,12,0,0,0.0666667
131948003,1,8,3000,2000,600,600,1999,1683,226,90,0,0,0.25
131948003,1,8,3000,4000,600,600,3998,2763,674,561,0,0,1.06667
131948003,1,8,3000,5000,600,600,4994,3083,923,988,0,0,1.68333
131948003,1,8,3000,6000,600,600,5996,3318,1224,1454,0,0,2.58333
131948003,1,9,3000,3000,600,600,2997,2292,422,283,0,0,0.566667
131948003,1,9,3000,1000,600,600,999,926,61,12,0,0,0.0666667
131948003,1,9,3000,2000,600,600,1999,1683,226,90,0,0,0.25
131948003,1,9,3000,4000,600,600,3998,2763,674,561,0,0,1.11667
131948003,1,9,3000,5000,600,600,4994,3083,923,988,0,0,1.68333
131948003,1,9,3000,6000,600,600,5996,3318,1224,1454,0,0,2.58333
690250312,1,1,3000,3000,600,600,2999,2639,357,3,0,0,0.566667
690250312,1,1,3000,1000,600,600,999,945,53,1,0,0,0.0666667
690250312,1,1,3000,2000,600,600,2000,1842,158,0,0,0,0.233333
690250312,1,1,3000,4000,600,600,4000,3320,662,18,0,0,1.06667
690250312,1,1,3000,5000,600,600,4997,3913,1052,32,0,0,1.7
690250312,1,1,3000,6000,600,600,5999,4584,1362,53,0,0,2.56667
690250312,1,2,3000,3000,600,600,2999,2280,457,262,0,0,0.583333
690250312,1,2,3000,1000,600,600,998,920,71,7,0,0,0.0666667
690250312,1,2,3000,2000,600,600,1999,1688,229,82,0,0,0.233333
690250312,1,2,3000,4000,600,600,3997,2632,779,586,0,0,1.13333
690250312,1,2,3000,5000,600,600,4993,2943,1057,993,0,0,1.8
690250312,1,2,3000,6000,600,600,5995,3163,1298,1534,0,0,2.58333
690250312,1,3,3000,3000,600,600,2999,2705,232,62,0,0,0.583333
690250312,1,3,3000,1000,600,600,999,971,26,2,0,0,0.0666667
690250312,1,3,3000,2000,600,600,2000,1890,99,11,0,0,0.266667
690250312,1,3,3000,4000,600,600,3999,3462,414,123,0,0,1.08333
690250312,1,3,3000,5000,600,600,4997,4139,635,223,0,0,1.76667
690250312,1,3,3000,6000,600,600,5998,4779,778,441,0,0,2.6
690250312,1,4,3000,3000,600,600,2999,2656,338,5,0,0,0.6
690250312,1,4,3000,1000,600,600,999,950,48,1,0,0,0.0666667
690250312,1,4,3000,2000,600,600,2000,1860,139,1,0,0,0.266667
690250312,1,4,3000,4000,600,600,4000,3383,598,19,0,0,1.1
690250312,1,4,3000,5000,600,600,4997,3983,979,35,0,0,1.86667
690250312,1,4,3000,6000,600,600,5999,4672,1269,58,0,0,2.96667
690250312,1,5,3000,3000,600,600,2999,2716,221,62,0,0,0.733333
690250312,1,5,3000,1000,600,600,999,971,26,2,0,0,0.0666667
690250312,1,5,3000,2000,600,600,2000,1889,99,12,0,0,0.283333
690250312,1,5,3000,4000,600,600,3999,3473,402,124,0,0,1.13333
690250312,1,5,3000,5000,600,600,4997,4141,631,225,0,0,1.75
690250312,1,5,3000,6000,600,600,5998,4787,762,449,0,0,2.6
690250312,1,6,3000,3000,600,600,2998,2290,436,272,0,0,0.65
690250312,1,6,3000,1000,600,600,999,914,67,18,0,0,0.0666667
690250312,1,6,3000,2000,600,600,1996,1695,202,99,0,0,0.233333
690250312,1,6,3000,4000,600,600,3997,2747,673,577,0,0,1.1
690250312,1,6,3000,5000,600,600,4997,3088,926,983,0,0,1.76667
690250312,1,6,3000,6000,600,600,5996,3369,1149,1478,0,0,2.61667
690250312,1,7,3000,3000,600,600,2996,2333,407,256,0,0,0.583333
