RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration

4167675172,1,1,6000,6000,600,600,5999,2546,467,18,2968,0,3.85
4167675172,1,1,6000,1000,600,600,1000,482,11,0,507,0,0.1
4167675172,1,1,6000,2000,600,600,2000,951,55,0,994,0,0.4
4167675172,1,1,6000,3000,600,600,3000,1387,118,2,1493,0,0.9
4167675172,1,1,6000,4000,600,600,4000,1788,226,3,1983,0,1.63333
4167675172,1,1,6000,5000,600,600,5000,2210,317,8,2465,0,2.6
4167675172,1,2,6000,6000,600,600,5995,3210,1258,1527,0,0,3.9
4167675172,1,2,6000,1000,600,600,1000,923,67,10,0,0,0.1
4167675172,1,2,6000,2000,600,600,1998,1631,271,96,0,0,0.4
4167675172,1,2,6000,3000,600,600,2995,2259,443,293,0,0,0.9
4167675172,1,2,6000,4000,600,600,3997,2656,733,608,0,0,1.61667
4167675172,1,2,6000,5000,600,600,4997,2903,1091,1003,0,0,2.68333
4167675172,1,3,6000,6000,600,600,5997,3787,628,357,1225,0,3.65
4167675172,1,3,6000,1000,600,600,1000,745,21,1,233,0,0.1
4167675172,1,3,6000,2000,600,600,1999,1451,100,17,431,0,0.383333
4167675172,1,3,6000,3000,600,600,2999,2116,175,51,657,0,0.9
4167675172,1,3,6000,4000,600,600,3999,2696,328,94,881,0,1.65
4167675172,1,3,6000,5000,600,600,4997,3310,448,195,1044,0,2.66667
4167675172,1,4,6000,6000,600,600,5995,3572,1196,1227,0,0,3.81667
4167675172,1,4,6000,1000,600,600,1000,942,49,9,0,0,0.1
4167675172,1,4,6000,2000,600,600,1998,1727,205,66,0,0,0.4
4167675172,1,4,6000,3000,600,600,2996,2331,451,214,0,0,0.916667
4167675172,1,4,6000,4000,600,600,3998,2836,700,462,0,0,1.66667
4167675172,1,4,6000,5000,600,600,4997,3211,1007,779,0,0,2.6
4167675172,1,5,6000,6000,600,600,5995,3016,1204,1481,294,0,3.81667
4167675172,1,5,6000,1000,600,600,1000,858,65,12,65,0,0.116667
4167675172,1,5,6000,2000,600,600,1998,1552,241,80,125,0,0.416667
4167675172,1,5,6000,3000,600,600,2996,2095,473,264,164,0,0.883333
4167675172,1,5,6000,4000,600,600,3997,2452,733,595,217,0,1.63333
4167675172,1,5,6000,5000,600,600,4995,2874,911,961,249,0,2.6
4167675172,1,6,6000,6000,600,600,5998,2738,1099,1477,684,0,3.61667
4167675172,1,6,6000,1000,600,600,1000,789,61,11,139,0,0.0666667
4167675172,1,6,6000,2000,600,600,1997,1420,213,73,291,0,0.366667
4167675172,1,6,6000,3000,600,600,2999,1937,387,256,419,0,0.916667
4167675172,1,6,6000,4000,600,600,3996,2299,612,557,528,0,1.61667
4167675172,1,6,6000,5000,600,600,4999,2557,880,949,613,0,2.61667
4167675172,1,7,6000,6000,600,600,5996,2764,1095,1452,685,0,3.71667
4167675172,1,7,6000,1000,600,600,999,776,60,7,156,0,0.0666667
4167675172,1,7,6000,2000,600,600,1999,1446,204,69,280,0,0.366667
4167675172,1,7,6000,3000,600,600,2998,1926,400,275,397,0,0.9
4167675172,1,7,6000,4000,600,600,3998,2287,617,575,519,0,1.63333
4167675172,1,7,6000,5000,600,600,4997,2567,877,954,599,0,2.51667
4167675172,1,8,6000,6000,600,600,5996,2764,1095,1452,685,0,3.78333
4167675172,1,8,6000,1000,600,600,999,776,60,7,156,0,0.0666667
4167675172,1,8,6000,2000,600,600,1999,1446,204,69,280,0,0.383333
4167675172,1,8,6000,3000,600,600,2998,1926,400,275,397,0,0.866667
4167675172,1,8,6000,4000,600,600,3998,2287,617,575,519,0,1.61667
4167675172,1,8,6000,5000,600,600,4997,2567,877,954,599,0,2.63333
4167675172,1,9,6000,6000,600,600,5996,2764,1095,1452,685,0,3.65
4167675172,1,9,6000,1000,600,600,999,776,60,7,156,0,0.1
