RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
255350303,1,1,3000,3000,600,600,2999,2606,384,9,0,0,0.566667
255350303,1,1,2000,3000,600,600,2999,2606,384,9,0,0,0.566667
255350303,1,1,4000,3000,600,600,2999,2606,384,9,0,0,0.65
255350303,1,1,6000,3000,600,600,3000,1380,130,3,1487,0,0.783333
255350303,1,1,8000,3000,600,600,3000,760,46,2,2192,0,0.833333
255350303,1,1,10000,3000,600,600,3000,510,26,2,2462,0,0.683333
255350303,1,2,3000,3000,600,600,2997,2237,495,265,0,0,0.6
255350303,1,2,2000,3000,600,600,2997,2237,495,265,0,0,0.716667
255350303,1,2,4000,3000,600,600,2997,2237,495,265,0,0,0.683333
255350303,1,2,6000,3000,600,600,2997,2237,495,265,0,0,0.666667
255350303,1,2,8000,3000,600,600,2997,2237,495,265,0,0,0.716667
255350303,1,2,10000,3000,600,600,3000,678,28,2,2292,0,0.7
255350303,1,3,3000,3000,600,600,2999,2725,225,49,0,0,0.75
255350303,1,3,2000,3000,600,600,2999,2725,225,49,0,0,0.85
255350303,1,3,4000,3000,600,600,2999,2725,225,49,0,0,0.816667
255350303,1,3,6000,3000,600,600,2999,2145,180,40,634,0,0.733333
255350303,1,3,8000,3000,600,600,2999,1007,88,17,1887,0,0.733333
255350303,1,3,10000,3000,600,600,3000,510,26,2,2462,0,0.766667
255350303,1,4,3000,3000,600,600,2999,2643,347,9,0,0,0.75
255350303,1,4,2000,3000,600,600,2999,2606,384,9,0,0,0.766667
255350303,1,4,4000,3000,600,600,2999,2721,262,16,0,0,0.716667
255350303,1,4,6000,3000,600,600,2997,2362,434,201,0,0,0.733333
255350303,1,4,8000,3000,600,600,2995,1333,1050,612,0,0,0.833333
255350303,1,4,10000,3000,600,600,2997,863,1126,590,418,0,0.766667
255350303,1,5,3000,3000,600,600,2999,2724,226,49,0,0,0.75
255350303,1,5,2000,3000,600,600,2999,2725,225,49,0,0,0.666667
255350303,1,5,4000,3000,600,600,2999,2709,221,69,0,0,0.633333
255350303,1,5,6000,3000,600,600,2998,2142,445,252,159,0,0.633333
255350303,1,5,8000,3000,600,600,2996,1056,940,596,404,0,0.683333
255350303,1,5,10000,3000,600,600,2997,581,1040,619,757,0,0.633333
255350303,1,6,3000,3000,600,600,2998,2325,426,247,0,0,0.666667
255350303,1,6,2000,3000,600,600,2998,2325,426,247,0,0,0.633333
255350303,1,6,4000,3000,600,600,2998,2325,426,247,0,0,0.616667
255350303,1,6,6000,3000,600,600,2997,1956,389,234,418,0,0.65
255350303,1,6,8000,3000,600,600,2997,1478,333,189,997,0,0.65
255350303,1,6,10000,3000,600,600,2998,1088,208,105,1597,0,0.616667
255350303,1,7,3000,3000,600,600,2995,2304,437,254,0,0,0.65
